input,out,len,bins
{{{<>{}}<<(())()(())>><<>>[<>]()}<>,},35,25~50
<{}>([])<>{}[{}[]]{<[]>{{[{}]}}()<>}<(),>,39,25~50
[{}](<[]>)<>((<>())<>{}(),),25,25~50
(<>)(()[][<><>][](<>[])[](){},),29,25~50
{{<>}[{}{}][{<>}]}<><()[]()>[<[<>{},]>],35,25~50
{[{[(())()<>()[]]}][](){}{{}()}()<,>},34,25~50
{}()()<>(<[<>]>)[]<<{}>>[{}[[]{{()}()},]],38,25~50
[<><>[[]]()(<>[[]]<()><[{}]>,)],28,25~50
<><>[<<{[[]()]}>[{}]>[[[]]<>]][<>]{{}{<[]{}>}<>(),},49,25~50
[<({}){[]{}<>{[]{}[[]](){<>}{[]}}<>,}>],35,25~50
(([]{{}()}<()>)[][])[[][][][][]()(){}][,],39,25~50
{}{{([])<>}}{}<[]><[]>[](){,},27,25~50
[()]()<<<[]>>{()}()>[<>]{{}{{<()()>}}{},},39,25~50
{}{}{}<><>(()[<><>[]<><><>{<>}],),31,25~50
{(){()(<>)()}{}[()]{}{{}[()][[]()<>]}(){[()],}},44,25~50
<<>()({}{}[{}{}]{})()>()[(){}[]]<<>()>{<[]>[]{,}},46,25~50
[][]{<>([][][]<>)[<>[]][][{({})}{}]{},},37,25~50
{{(<>())(<>[])}[]{}<()>[]{}{,}},28,25~50
[][<>]<>[]{<>{}()<>}<{}{}{}[[]]<{}{[]<>{}[]({})},>>,48,25~50
([[]](){<({}(){<>})<<[]>>[][]<>><>{<>[(<>)]},}),44,25~50
[][{{()}{}<<>()>}()<{}[][{}]>[()],],33,25~50
(<><>){<<><>><<<{}()>>[]{}(,)>},27,25~50
<{[]({})}{[{}[]({})]([])}<<<<>()><><()>,>>>,39,25~50
[<>()]()<[[<>]]>[({{}}<>)<>(<>)({})<>,],37,25~50
<<{[]}()>{}>{}<<>{()}{{[]}<<>{}[(<>)]<>>}()(){,}>,46,25~50
[][]<(<<{}>{}>)[]<<>[](<>)[]<>{}()[,]>>,35,25~50
[<>]{}<{()}>[<[]()(()){}>][{}<>]{()}<,>,37,25~50
()(){[]((())[][]){}<{}<{}>[]<{}{}({})>,>},38,25~50
[[][]{<<>>{{}[][][()<>]}}{},],27,25~50
[]<>({{<>}()}[][][]{}{{}}){}{{{},}},32,25~50
[]<<>()>[][][[]]{[]{}}[[[<>]<()>]<>[]{}{[]},],43,25~50
<>[{}][]({({})<<>()<{}<>()>>()(){}}([]())<,>),42,25~50
([])[]<>()()(<>()){}(<<<>>[],>),28,25~50
<<><><><<{}><>()[]{<{{}}>}<<<>>[][]<[]>[]()>>[{{},}]>,49,25~50
<>{}{()<>{()}}[([]()())]({}<{}[]>{[],}),36,25~50
{}<>()<><()>{}()()<>{}{}()[]({}<>,),33,25~50
({()})<>([{}][(<>)<>])(){{<{{}}>[[]]}[,]},38,25~50
{<<>>}[{}[[]()]()[<[<>]>{},]],26,25~50
(<()>()){()<>}{[]<>([]{}<>(){}[]){()[(),]}},39,25~50
(){}<>{<<()>><>()(){}[]<[]>()[](,)},32,25~50
()({})<<[][<()>{{}()(){}<>()[]}]>[](),>,37,25~50
()[[(())<[]>{<>{}[{}()]}]]{()[][[()]([]){},]},42,25~50
()<>{{}}{}[]()<()<(()<>)>{,}>,26,25~50
{[]()}[<()(<>)()>({})()(<>[]<>[]<>[],)],36,25~50
({[[[]]](){}()}[]<<>>[]{{}}<<>{}>{}()(){}[]<><>,),47,25~50
[]<<{}>>()(){}[][<[]><><>,],25,25~50
[[]][()()()<{}{}>()<>()[{<>}{}{[]()}[]<>{}(())]{,}],48,25~50
[][[<>([{}])<>[]]({[]})[]<<{}[]([<>]())>{}>[(,)]],45,25~50
([](())){}{[()<>][][][]<>{}[]{}[,]},32,25~50
{[<><><>][()]}{<>{[<><(())>]}(<[],>)},33,25~50
<<>[]><>{}(<>)<()({})(()<[]>)()()[{{}<>,}]>,39,25~50
{[]{<>}{}[([]{[]}){}[]<<>>()]<>}(()(),),37,25~50
[[]{[][]}](<[<>]{{()}}><>){([]())(),},35,25~50
<{{}[]<>[]()()()((<>{}))<><>},>,29,25~50
{<[]<{}>[][[<>()]]>}<[]()[]<><[]<>>>(){,},39,25~50
{()}(){[][]<>()[{}]{[][<>]}()(,)},30,25~50
{({})}{<(([(({}))]()<><>))>}(((,))),31,25~50
({[<{}>]<>}{}<><[(<>)]()({}(()))<>{}>[[](()),]),44,25~50
(<{}>[][[]]){}<>{}()()()[]()[{[<<>>]{},}],38,25~50
(<>())<>{}<{}><({})[][]<>{[]{{}()}}<(,)>>,37,25~50
{()<{}>({}[{}]{{}([])(()<>)({}<{()}>)[]{}}){}<,>},46,25~50
(<>[]((()[<>]{{()({})}[()<>]})<()<()<>[]>>,)),42,25~50
[[]](<>{}(){}){}{}({}[])<[{}[()<()>]]{()}{{}}(()(){()(<>)[]}(<>)[](())<><,>)>,73,50~74
{(){[]<>{[][()]}<>}[<>]}({()}<>(<>)[][])({})(<()(){,}>),51,50~74
<><[]>({}{[]}[[]<>]{}(<>)[][]({})<{}>[]([])[]<><[]>{}<>[(())<>{}],),65,50~74
<><>[<><<>()><{}()>]<>{{}[]()}((<>())()({}{}<[]()([])<>>[][<>]),),63,50~74
[{}(<>[{<<>{}<>>{}}]<><>[[]][()()[]])<(()()[[]])[[]](<>),>],56,50~74
[<><[{}[{}{}[()()()<>({{}}){}()]{{}}([])()[()]{}{}]([])(){},]>],59,50~74
()([<[]>]()([]()))[[](){[[<>[]<>]<><>]}<{}<()>>{}[[<>()]]{}([])][<>(<>{,})],71,50~74
{<>[<>][[]()]<>{<>}([]<><>[]{<>}(<>)<>{}<>{})}{()}(,),51,50~74
(<[{}{}(<>())()]>){[]}{{[][]()}}({}())[()]<<<>()[]>{[,]}>,53,50~74
()()<>[]{(()[](){}{(<>{})}()){}<({}{}{[()()]}[(){{}}])>{()<<<>>>[]{}}(,)},70,50~74
{[{{}[]}]<>}()<()<><({}{}{})>[]<>{}[<<>>]{}{}()>([],),51,50~74
({})(<()>[([[]]<[]>())()]{[]}()[])[{}([])<>]({}{{()[[<[<>]>]]}[]}{},),67,50~74
{[]{()()(){}<[()](<>)>}<[<><>()][[()]]><><>{{}[[]{{}}]<>}[]<>{[[],]}},65,50~74
<>([({}({}()([])){}<>[]()[[]]<>)((){})<<>[()<()>]>[][[]](<>){(())}[,]]),67,50~74
[<>(){}(){<()>}<>[<>]{{}{}<>}]{}<>({}<[]>{[{}]}{}{()[[]]{}[][](<>)}<,>),68,50~74
[()]<<[]><>[]()<>{()}([()]()[]<>[()[][]])<<>[]>({}()){<>}<>()[]()()<>>{{,}},72,50~74
[]<>(){}<><<>><(<><<<>>><>[])>{()[()]({})<<>{}>[][(){},]},54,50~74
{{<>}}[](){{}{[<>]()<>{()[]}{()}}{}()<>}<{{}}>([]())(<,>),54,50~74
{{<{{{}}{}}{}{}><>}{{{[]}}[<((){})>]}{{}()<{()[]}>([])}{}{}(,)},60,50~74
[][<<()>[]{()}>(<>(())){<>}()<>{{}}[<>]<{}{<>}<>>{}{}]{{[(())]}<>,},65,50~74
[[]<>[][](<>)]()({{(({(<>[])})[]){}}}<[]{}[][]()>)<>{<><{}{{()()<>}}><>[],},73,50~74
()()({}){()}[]{<><>{()}{}[<><<{}><{}>>{(<>)}{}[]<>()([<>])[<>]()]<<()>,>},70,50~74
(<><>()<>()<{}>()[]<>[]<[[<(){([])}>]]<[{}]>>{}<<<{}(()())><>,>>),61,50~74
{}()<><>()[]{{}}{}[]<<>>{{[]}}{}[[[<>()]<><>()()(),]],50,50~74
((()[(<<>>[])[]]<({}{[<>]})>[]{{}})<><[[](){}()]><{()}>{}({})){}[][[]()(),],73,50~74
(()[{[]}{}])(({}{}<()>(){}(){}<>[](<>))[]<>{}{}()(){}{()}()){()<>,},65,50~74
{[]}<>(){}[]{}(){()}<><<>>{}{(<>()[<>{}({<>}<>)<>()])<>()[]<>[[]{,}]},65,50~74
<>[]((())<(){}{}()<>([])()()>(<[]()<[()]>>))([(<>)]{}[]<><>[]<()>{{},}),68,50~74
{[[]][]}([](){{}})([()]{}(()<()>)<>())[][[][{}]{<>}{()}](<>,),59,50~74
{{}[{}][]}{{}<>}{}<><[][]({(({<>})<>{})})><<><>>[[[]]<,>],54,50~74
(()<><>{<><>}<>{{}[]}(){}[{}]<{}[][<>[]{}{{{}}}][<>]{()}<>[]<{}>,>),64,50~74
<>[]<>({{[]<><{}[{}]><>[{}]{}[()]}{}{}{}({[[]]})({})[]},),55,50~74
[]<>[][][{}[{}]]{}{}{{}(<><>)()}{}{}[<>][{<>()()[][]([]),}],56,50~74
[[]()][<><[()]>][(){}[][]{[]<>()[<><><()>{}{<[]><{}>},]}],53,50~74
([{{}}][]([{}]<>[]{[<{}><>[]{()}]}){([])<>{}[()]()<<>><{<{}>}>}(<[]<>><,>)),71,50~74
<><>[{}{[<>]<>[{}<><>]}{{}}[<>]]{}[[<[]>[<()>[]()]]{(())()}<,>],60,50~74
(<{}[]>)({}){()}[](){{}<>}([[]]<()<{}{}{}<>[]>{}<[]>><[](){,}>),59,50~74
[{[]}(<>[]<>())[<>()[]{}[]{[]}[]][][](){[[{}<<>>]][[]]}]<()<>>[<,>],64,50~74
[[[]{{<>}}[{({})}[[]<({}{})><>{}(()[]()){(){}[]<>}]][,]]],53,50~74
<[][]<>{}><[][]([])[{[()]()}]>[{{}}()][[<>]][<>[]{}]{}{}{}()({},),63,50~74
[<{}[]{[]()}[(())<>()]<>{}>]()[[<>]{}]{((())){}()<>{}[][]<>([])()<><>(),},71,50~74
<([])[]>{(<><>[]<><<>[]{}><><<>[]()[]>[<>]){}[[]{}]{}(()<>){},},61,50~74
{}{[<()><>]()}(){[()][]}{}({<>[<>]{}}[])[<{}>][][](,),51,50~74
[{<{}>}{}]()<><{[]}{({})<>{}[]}[<{}>](<<>>)<<>>({}{[<[]>()()]()[]}<()>),>,71,50~74
[([<>{()}(){}<>]<{}([(){}[<>{}{}]]){[[]]}{}>)()()<>{}[,]],54,50~74
<{[]}[]<>{{}{}}(){<>}[]{}<[{}]><>>{}{}[]{}[][]()[](([](,))),55,50~74
[()()]<>(<>)<>{<>}[(<>(){})]()<{}[](){()}>(()(){()[,]}),51,50~74
(<(){}>{}[[[]<>{}()<()><>()<>]<>[]{{}}<>[](){}](){}()()()(){}<{}{},>),66,50~74
{[<>()<>]([{[](){<>[]}}](<()>))()(<()>{()<>})<>({}<>)}<()[<>],>,61,50~74
([]){}<><[<{}>[<>{()[][()]}]<<<[]>>>({{{}[<>()]}}()){}]<{()}>,>,61,50~74
{()}{}[{<>{}}]{}<(){}><><>[][]{<(){<>{{}(()())}()}>()<,>},54,50~74
[[<>]<>(())[[{}[][<>]()]()<>{}]()(){[]}<<>()>[(){}](<{}[]<><>><{}>)<,>],68,50~74
[<<>>[()[([])]()({})<>][][<>{}{}[[][]]][[]<>]<{[[]{}]}>[]<>[,]],60,50~74
<<><>>(()){<{}>{}[{}[]<()<>>()]}[<<>([[<>]][()[]])<[]>[][]>{}<<>>,],65,50~74
[({})]([])()[(<>)][]()<[]{}>()({<>}{<{}><<[<>{{()}}[({}){}]]<>>[]>[]()},),71,50~74
{[[]]}{{}}[][]()({})(){}(){}([][[[{}]()]]()[][[[()]]{{}({})}]<[]><>,),67,50~74
{()()}{[(<<>>)]}{<>}{<{}()[(<>()())]()[]>}<[]<>[][]><>([[]{}<>{}<>,]),66,50~74
{}[[]](<>())({<<<<(){<>}>>>>})(<(){}><{{}}{<<>()<>[]>()<{}(())>()[](){}[],}>),73,50~74
{[]([<>](){}[[](){}]){}{}{(<>)}()}()[()[]<[]>{}<><(())<()>,>],58,50~74
(((){})<<<>({}<>[]{})>{()}>([]<>{()[[]][(){}()]})([()][][()])<{}>[]<,>),68,50~74
{}{}<>{(<>)}()<>[]<>([<>][][])[<{}>({})([[][{{}}]]){}]([]<>())<(,)>,64,50~74
()<<>{}><>[<>]{{}[{}<>{}{}]{[<><>]{<>{}}{<>[([]){}<>]}[]{}}}[][]{,},65,50~74
{<>{{}()}{}()}{}()<>(){(<>)[<>[]()<>()<()>{<>}{}<>,]},50,50~74
{}([[]<(<>){<>}><{}>]<({})[][][]<><><>[]>(<()>)<<<>>,>),52,50~74
<[{}()[]][<<>()>[]]{}{()[]}{}[](){}()>(){[]}()()[{{{}}<,>}],55,50~74
({})<>{{<><<<>>[]{}{}>()}[(((())((){}))<<>([])>{{}()}[]{})],},59,50~74
{}<(([{}])[[][][]][[()][]]{}{}[[[]]()]){}[]>[[]]{}{{}(){[]}}<{}<[]>(){}(,)>,72,50~74
<[]>{<>[{<[]>}<>[]({{[]}}<>[]<><><><>[])]<>[{}()]{}{<>{}(){}}({[]}),},67,50~74
{[]}<><>((){}[<>]<[<{}>()()]>(){}[]<(){}[[](<{}>)]>()<<>[]>[{}{}()]){}(,),71,50~74
[{}[]([()]([])<(<>{}{})[[]]()>)<{}><<>>(()){[<><>]},],51,50~74
[]{}[[]][]()[][[{}{}<>]{[]}]()(<>){}{()}{({<>})}[]<<>><><><<>><,>,63,50~74
{{}{}(){<>{}<>}<>{}(){}{[{[]}<>{}()]}{}{()()()}()<>}{,},53,50~74
<[]<>()[]{[]([({})<>]{}[{<>}<[]>([])]<><<>[]<>[]>){[]}{}<>[<>](({}))},>,69,50~74
[{[]{}[{}][[]]}<()<>()()<>{}{}[{}]>[<>{<>}][]()<>(),],51,50~74
{}<>{<[]>}<(<>[])>{()}[](())<>()[]((<{}>[]<><>)<>[{}{}(){[]}]()[]{,}),66,50~74
{[]}<[]{}<><{}>>({()}(){}{<{}>}<<>()><{[{}]}{}{}>[]<{[]}{}>)[{({(())[<><>]<>})}<<>><,>],84,74~100
{}{}<>({}<>)<()<>{<<>(()<>)>(){}{{}()}}[(){{}{{}()[]}}[]<<()>()()<>>{}]<>[(){}],>,79,74~100
<>(){()<>[]()(<>)[]<>{}{(<>){}}{}{}{}()()}<<<<>>>[][<>{()}]<><>>{<[[]]{}>{}()}{}<<>>[]<[]>[,],91,74~100
{<<{<>}><>[]>}[](<{}>)<[]>[<<>(<[]><>)<>((<>))<>>(<[]>{{(())()}}(<>)<>)[[()]{{}}[{},]]],83,74~100
[()(){{}}<>{{}}{}[{[]()<<>(<>[])><[[]<>()]()<>>(<>)}]()({()[]}[][]){}<><>{}[]<<>>(()){}[{}][[<>,]]],95,74~100
(())[()[]()(){<>}[]<>{}]<{[[][][]][[]<<>>]}[[]]([](){})<>{}(<>{<>})<{}>>(<,>),74,74~100
<(<()>{}<{}{}>(){}<>({})[{[[<>]][]<>}<>]{}{}{})<[{<>[]}()]>(){}<()>{}{}<[({{}})]>,>,81,74~100
[{{<>{}}{}{}[<>]}[][][]][]{}[[]]()<[](<>{[]})<>{(()){}}({}[](<<>>){<>}{[]},)>,74,74~100
([<<>>]<>)[]<<>>(<<{}>[()]<>>[](<>{}){<<[]{}{{}[]}>><>{}}{}[]<<<<()[()][]>>[[]{}]>>[<>]{}<>{}()(,)),96,74~100
{{}}(())[[]](){{}()[<>]()<{<>}<>{{}()<>}{(())}[]()[][<[]>][][<()>{{{<>}}}][[[]]]<>>()[,]},86,74~100
([({<>[]{}}[]{<[]>[]{[{}][[<>]<>{}]({}<>)}[]}{<{}>}{}<>)]()<>[]{}[]([]))([])()[,],79,74~100
(([][]))<{{}[]}<>[[]()][]<>>(<>{}(<>[]<>{<>}<>{[]()})([])())<><()()()[]>[][<>]<{}>{{[[]]}}[]{((),)},96,74~100
(){[][{}[]]{}{()[][]{}{}}[[]]([[]]()()(([])){}{<<>>[([][]{()}(){}({<{}>}()[([])]){}(<[<>]>))]<>[],})},97,74~100
<>[[]()][(){}{}[{}{{{}}}()(){}<><>{}()<<{}>[]>[<<>><>]<{<>}{}>][][][<<>>{[]},]],76,74~100
{}[]<{{}}[]>{{{}[][][]{}<{}[]>[]}<<{}>[[]]<>[]()<>[]>}[(){}{}]([]{}){{}}()<<{}()>[,]>,82,74~100
[()]<{<>}>{}()<><([][]{})>{[]}{<[([])(){{}[]}{}]>[][[]<>(){{}}[([][])]{}[](,)]},75,74~100
()[]<{}[]()>(){{{{}<>}{}{}<>[]}[<>()<>[]<>[][]([])]({})()<>[()]{}()<[[]<>][]{<>,}>},79,74~100
[][()][][{{}()}<[](){}>[{}]]{}[]{[]}[][<>]<()><()()>[()]<<><>[()<><><()[]<()<[]>{}><[]<>>>][]<>,>,95,74~100
()[{}<>{}[]{}[]]([]<{}{{}}>)<(<<[]()>()>)<><()>[((){}{()}{<>}{{(){}}(<>)}{}<>{<>}){[][],}]>,87,74~100
({()})[]<>{()}[()]<<[]()><()><()<<><[]>><>{()<>[]()}()<>>[]<<<>>[]([])<><[]>>[],>,79,74~100
<><(){<>}()><{}>[][{[[{}][]]}(){{<>}{}[{<>}]{}<>}](<>[{}{}()])()(([]{[]}))()<{()<>}>()[]{[]}()(,),95,74~100
[[{<>}<{[<>]}{}>]()(<>{({}){}<><>()<{}>})<([()][]{}{})<>{}[(<><>)][]{<>[]{}{}{}[]},>],82,74~100
[<([]){}[]>{{({})}<[]>(){()[]}}<<>>(([]){}[]<><>()<><<{}>>())[]({}(){}()){}](<>{})[]{({}[,])},89,74~100
()()()<><>[<()[]()()[]>{[()]{(()<>)<>}}{}{()}(){([])<>}][<>]<>{}([({})][<>][]{<><><>{,}}),85,74~100
<{}()()>(){}[(){{}}]<>(()(){([]{}<{{<>[]{}}[[]<<<>>>{}]}{}>)}[<>({}{})[<>]({}[]{}<<>>)()])[,],91,74~100
<>[]<>[({})]()[{}<>]{()}()[{}[]<{}{()}{}>]()[[]{()}[<>]](){}[]{}{[[]]{}{(){}()(,)}},79,74~100
([{}])(<>)(([({})])[])()[(<{}{}<>>)(<[{}<[]()[()]>]<{}>[]([()])<>>[(<{}>)])<>[]<>]<[<><>{}{},]>,92,74~100
{}{<>{[]{[[]()]}}}<{<>{{<[<>]>}}<[[((){})]<>()]<((){})[]()()><[]>{}><><<>{}>{}}{}[({{}})<>[,]]>,91,74~100
(<><<>>{<>}(){}<{{}}()()[()][][]()>()<>{<<[][{}]>>{}{<{{}}{{}[]}[()]{}<>>}[](){}{}<>{,}}),85,74~100
[]{<{}[]>{}[]{}()[]<>{}{{}<>}[]{}{}<{}{[]}{}{}<[]<>()>[]()[<{}>]<()>[]{}<>>()[{}][{{}}[]<>][,]},92,74~100
<>[{}<><><>]<>{()}(([]<><>[]<>{}{}()([]())()(){{}()})<>[]<>[]{{}(){}[]{}()(([]{(())<>}))<>((<>),)}),95,74~100
{[]{}<>}[(){}<>[]]()[<[]>{}[[{}()(){<>}[]][{}{}([<><>])]]<[]<<<>>{()}()>>(<,>)],75,74~100
<()[<>]{}>{}(){<><>{}[{}{}]}<><>[[]]<{<{{}}[]<>()([])>[]{}}([]<>)[]{}<>[]<()>({})()<>{(,)}>,87,74~100
[][<>]{([{}])<>[<>]<>}()(<[{}()]>){}()()<[{(()[][])<>{}}([])]{{(<>)}[[()][]]<>[{},]}>,81,74~100
({})(){[]()}({}{}<><[]{}><><{}()><(<>)>[](<[]<>>{}()<>{}())<>()(){}{()(){}},),75,74~100
[][<[](<>[][{[]}{}[]][])>()[()]{(){[[]]}<>}[{}]{<[](()<>(){}[][])><[]>{}{<>}},],77,74~100
[<>]{}[]{}<>{[]<>[]}({}[])({})<{}>{<[]<{}>(<{}>)><>()<()<>>[[]]<>}(){<({[<><[]>]}),>},82,74~100
{}{}[]<{[]()<<[]>{}<>{}>{<>{[()]}()()}({([<{}>]<>)}[<[]>])()()(()[])<<>[]>()()[][<>]{}}{{}}>{[]<>[],},99,74~100
<<>[]{[]}{[]<<>>}<>{[][][]{}{<>}(<>[])}{(){<<<(){}[][]>>>}[]{}([]<>({}{})){(<>{{}})}{}}[]{},>,91,74~100
[{<()<>(())>[][]}<><>()<<{}>[]><<<()><(())>[({})()]([])[<>]((<>){}<()>)<><[][()]><>><>[]>,],89,74~100
<([])>{}{{}[[{()}[]]](){}(<[][()<>][]>()[{[][]}()[]<><>][{[]<><<<<>[][]>>><<{()[]}>>{}}])[][],},93,74~100
[][()()<>]<><[<>](([]([{}])<{<>}>)){{<>}{[]<[]>}{()}<><>([{<<>>}{}]{}<<>>{()})[]},>,81,74~100
({})[]<<<>>><[]>({}{}{{{}<>}(<>[])}[]{}([()])([[]]([]()<{[][][]}>{}([{[]}][])){}[]){[,]}),85,74~100
[{}]([]([[{}]]<>)(([<[<>](())<><[][][]<>[]>><[]>]<()>{}))<><>[][[()]]{}()(){},),77,74~100
{(())()[]}[]{{}[]{<>}}([[]{}<>][]{}[]<<>[{{}}]>[]<{}[]()[]<>>{(())<>}<><>{},),75,74~100
[]{}(){((<<{}>(<>[][])><>[]))<<{}>{}[]{}{()[]<(){}{}>()<[]>[]}>{<[<>]>{}}[{}]}[,],79,74~100
{<<>>[[]{}{}[]{}]}{[]<[]>{}([])[{}]<>[<>]}()(()[{}()])()[{{{}}[]}()<>{}]<>[<<()>()[()]{}()<><>,>],94,74~100
<[[]<><<<[]><<><><()>>><<>{<>}[]>[]>][{[<>]<{}<>>}[[{}[]]]<{}[][]><><>]{}{}<>[<({})>()<>({})]<,>>,94,74~100
[{}]<()><>[(){}]()<>{[]{()}{{}()}[{[]}()[]][]}[<(())>({(<><>)}<><><[]>{}{}{}){}[]{}<{{}[],}>],89,74~100
{}({()}{}[[][]<()[([])]>])<{}><>[][](<<>[(<>)[[]]<>{}]{}()><<>>()()<><<>><<<>>>{}{}<>[])<,>,89,74~100
<()<>()<>(<<(){}<>{}>[]>)<>{}({})>{}{(<>)}<(<>()()()[][][])<{}>{()<>[{}](<><>[])}(){()}[<>],>,91,74~100
<<>>{<>{[[]<>][]}}(<[]>{}[])<>[]{}()<>(){()[<>{}{}]}[]{<({})>(())[]{{}[]<>()[()]{}<>}[()[]],},91,74~100
{[[][]<>[{[]}]][{{[]}}[]{{{<>}}[(){}][[]]}<{}[]>{}](())}[]()<>{}{}<><>{(){},},75,74~100
<{}({})<{}>>[{()(){}}][]{}<<()(){}([[[][]]]){<><>[{()[[]]{}[][]}]{}()[()<>[]]}>[<>,]>,82,74~100
{[]()<>[]([])}<<>>{}[([]<>)[<>{}<>()]]()(()())(<>){}<((){<{()(())}(<>)>}{}<()<{}>>)[]<()>,>,89,74~100
[]({}){}()<([]()[]([(())]{{}}<>)[](()<>[][]){{}<[<>{}()]>}[](<>[]((){{}}[]){}()[]{}){{}()()(()),})>,95,74~100
{()[]()(())}<()<>{}<[]>[(){}][]>[][([])[]{}[[{}]][]{({<>})}[]{}[{}]{}{}<>()]{{()},},81,74~100
{(<>)<()>([])()[<>]{}{()()}}[][{({})[[()][<>]()<>](<<>>[])[]<[][]{[]()<>[]()}(),>}],79,74~100
<()[]>{<{}>}[((<[]>)){{}}][<{}[]<>>{[()()]{}[<[]>[{}]]{}[{}]{}{({}())}<>(<>{}<[]>)[([])(())]}[],],95,74~100
{{[{}()](<><>){()[]{()}()()}({}){}}(([]<<<>>>{}<>{}[])[{[{<>}]}]<<>{}()()>),},75,74~100
[((){}){}{()[]}<>[[][](<>{}<>({()}()(){}{}{}{}))(<{}>(<>())<<><>>[][])([<>])]{[[]({<>})]}[]{(),}],94,74~100
[<()><{(())}>[()()[]{[]()<>{}[]<>[<>]}<{{}()()[]}><[<>{}[]]<>>[{}][]<[]>()[{[]}[{<>}]]<><>{}]<(),>],96,74~100
<>()<>()[{}()]<{}()<{}<<{}([]<>)><{}>[]()>[][(<<>>)<>()]>()>()[[{}][]]{<()()<>[]><[](())>,},89,74~100
[{()}[[]]()(<>{([()])<>}{}<>[[]])()[]][{}](){<><>[][{}]{}<<<>(){}>[]<>>{<>{}[][][][[]<>]{()}()}{},},97,74~100
