input_origin,input_extrapolation,output,len,bins
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 23,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,23,17~25
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 22 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,22,17~25
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 24 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,24,17~25
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 24 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,24,17~25
"Say hello world five times, but don't say world every even time","Say hello world 21 times, but don't say world every even time",hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world,21,17~25
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 22 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,22,17~25
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 22,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,22,17~25
"Say python twice and data once, and then repeat all of this three times.","Say python 24 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python python python data,24,17~25
"Repeat cat five times. After each time, also say mouse","Repeat cat 18 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,18,17~25
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 19 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,19,17~25
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 18 times, but halfway through also say woof",dog dog dog dog dog dog dog dog dog woof dog dog dog dog dog dog dog dog dog,18,17~25
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 22 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,22,17~25
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 20 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,20,17~25
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 19 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,19,17~25
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 21 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,21,17~25
"Say python twice and data once, and then repeat all of this three times.","Say python 20 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python data,20,17~25
"Repeat cat five times. After each time, also say mouse","Repeat cat 17 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,17,17~25
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 17 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,17,17~25
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 17 times, but halfway through also say woof",dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog,17,17~25
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 20 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an interesting concept carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,20,17~25
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 20 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage,20,17~25
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 24 times, but halfway through also say woof",dog dog dog dog dog dog dog dog dog dog dog dog woof dog dog dog dog dog dog dog dog dog dog dog dog,24,17~25
"Say hello world five times, but don't say world every even time","Say hello world 23 times, but don't say world every even time",hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world,23,17~25
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 17 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,17,17~25
"Say python twice and data once, and then repeat all of this three times.","Say python 18 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python data,18,17~25
"Repeat cat five times. After each time, also say mouse","Repeat cat 20 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,20,17~25
"Say hello world five times, but don't say world every even time","Say hello world 18 times, but don't say world every even time",hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello,18,17~25
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 18,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,18,17~25
"Say python twice and data once, and then repeat all of this three times.","Say python 17 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python data,17,17~25
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 24 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage,24,17~25
"Repeat cat five times. After each time, also say mouse","Repeat cat 22 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse cat mouse,22,17~25
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 17 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,17,17~25
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 20 times, but halfway through also say woof",dog dog dog dog dog dog dog dog dog dog woof dog dog dog dog dog dog dog dog dog dog,20,17~25
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 18 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,18,17~25
"Say python twice and data once, and then repeat all of this three times.","Say python 22 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python python data,22,17~25
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 21 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,21,17~25
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 17 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,17,17~25
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 19 times, but halfway through also say woof",dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog,19,17~25
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 21 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,21,17~25
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 19,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,19,17~25
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 20,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,20,17~25
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 18 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage,18,17~25
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 20 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,20,17~25
"Say hello world five times, but don't say world every even time","Say hello world 17 times, but don't say world every even time",hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world,17,17~25
"Output carbon pricing is an four times, but in the middle also say interesting concept","Output carbon pricing is an 18 times, but in the middle also say interesting concept",carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an interesting concept carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an carbon pricing is an,18,17~25
"Say hungry three times, then hippo two times, then feed me four times","Say hungry 17 times, then hippo two times, then feed me four times",hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hungry hippo hippo feed me feed me feed me feed me,17,17~25
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 20 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district the administrative district,20,17~25
"Say python twice and data once, and then repeat all of this three times.","Say python 21 and data once, and then repeat all of this three times.",python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python data python python python python python python python python python python python python python python python python python python python python python data,21,17~25
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 23 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world,23,17~25
"Say hello world five times, but don't say world every even time","Say hello world 20 times, but don't say world every even time",hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello hello world hello,20,17~25
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 6 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district,6,1~9
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 5,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,5,1~9
"Say python twice and data once, and then repeat all of this three times.","Say python 6 and data once, and then repeat all of this three times.",python python python python python python data python python python python python python data python python python python python python data,6,1~9
"Repeat cat five times. After each time, also say mouse","Repeat cat 4 times. After each time, also say mouse",cat mouse cat mouse cat mouse cat mouse,4,1~9
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 5 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious,5,1~9
"Repeat the word dog four times, but halfway through also say woof","Repeat the word dog 3 times, but halfway through also say woof",dog dog dog dog,3,1~9
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 7 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world,7,1~9
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 2 times",Saturday Sunday Saturday Sunday,2,1~9
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 5 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district,5,1~9
Repeat 5 times hello world,Repeat 7 times hello world,hello world hello world hello world hello world hello world hello world hello world,7,1~9
Repeat 5 times hello world,Repeat 5 times hello world,hello world hello world hello world hello world hello world,5,1~9
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 2,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,2,1~9
repeat whole note quarter note quarter note quarter note twice,repeat whole note quarter note quarter note quarter note 7,whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note whole note quarter note quarter note quarter note,7,1~9
"Repeat all the world seven times, and after every second time add is a stage.","Repeat all the world 8 times, and after every second time add is a stage.",all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage all the world all the world is a stage,8,1~9
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 3 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district,3,1~9
"Repeat cat five times. After each time, also say mouse","Repeat cat 2 times. After each time, also say mouse",cat mouse cat mouse,2,1~9
"Say the days of the week but only the weekend days, two times","Say the days of the week but only the weekend days, 7 times",Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday Saturday Sunday,7,1~9
"Repeat the phrase the administrative district three times, and say the phrase hello world after the second time","Repeat the phrase the administrative district 7 times, and say the phrase hello world after the second time",the administrative district the administrative district hello world the administrative district the administrative district the administrative district the administrative district the administrative district,7,1~9
A watermelon has seven seeds. Repeat they're delicious once for every seed,A watermelon has 6 seeds. Repeat they're delicious once for every seed,they're delicious they're delicious they're delicious they're delicious they're delicious they're delicious,6,1~9
