input_origin,input_extrapolation,output,len,bins,pred,total-tokens,prompt-tokens,completion-tokens
"Повторіть слово «собака» 4 рази, але між ними також скажіть «auau»","Повторіть слово «собака» 18 рази, але між ними також скажіть «auau»",собака собака собака собака собака собака собака собака собака auau собака собака собака собака собака собака собака собака собака,18,17~25,Output: собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau,58,91,149
"Скажіть «голодний» 3 рази, потім «бегемотик» двічі, потім «нагодуй мене» чотири рази.","Скажіть «голодний» 20 рази, потім «бегемотик» двічі, потім «нагодуй мене» чотири рази.",голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний бегемотик бегемотик нагодуй мене нагодуй мене нагодуй мене нагодуй мене,20,17~25,Output: голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний бегемотик бегемотик нагодуй мене нагодуй мене нагодуй мене нагодуй мене,68,105,173
Повторіть фразу «адміністративний район» 3 рази і після другого разу скажіть фразу «привіт світ»,Повторіть фразу «адміністративний район» 21 рази і після другого разу скажіть фразу «привіт світ»,адміністративний район адміністративний район привіт світ адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район адміністративний район,21,17~25,"Output: 
адміністративний район 
адміністративний район 
привіт світ 
адміністративний район 
адміністративний район 
адміністративний район 
адміністративний район 
адміністративний район 
адміністративний район 
адміністративний район 
адміністративний район 
адміністративний район 
адміністративний район 
адміністративний район 
адміністративний район 
адміністративний район 
адміністративний район 
адміністративний район 
адміністративний район 
адміністративний район 
адміністративний район 
адміністративний район",154,99,253
"Скажіть «привіт світ» 5 разів, але не кажіть «світ» кожного разу","Скажіть «привіт світ» 18 разів, але не кажіть «світ» кожного разу",привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт,18,17~25,Output: привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт світ привіт привіт привіт привіт привіт привіт привіт привіт привіт,41,91,132
Повторіть «вся нота чверть нота чверть» 2 рази,Повторіть «вся нота чверть нота чверть» 21 рази,вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть,21,17~25,Output: вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть,156,86,242
"Скажіть «голодний» 3 рази, потім «бегемотик» двічі, потім «нагодуй мене» чотири рази.","Скажіть «голодний» 18 рази, потім «бегемотик» двічі, потім «нагодуй мене» чотири рази.",голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний бегемотик бегемотик нагодуй мене нагодуй мене нагодуй мене нагодуй мене,18,17~25,Output: голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний бегемотик бегемотик нагодуй мене нагодуй мене нагодуй мене нагодуй мене,64,105,169
Повторіть «вся нота чверть нота чверть» 2 рази,Повторіть «вся нота чверть нота чверть» 18 рази,вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть,18,17~25,Output: вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть,123,86,209
Повторіть «Привіт Світ» 5 разів,Повторіть «Привіт Світ» 21 разів,привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ,21,17~25,Output: Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ,82,80,162
Повторіть «весь світ» 7 разів і кожного другого разу додайте «це етап»,Повторіть «весь світ» 19 разів і кожного другого разу додайте «це етап»,весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ,19,17~25,Output: весь світ це етап весь світ це етап весь світ це етап весь світ це етап весь світ це етап весь світ це етап весь світ це етап весь світ це етап весь світ це етап весь світ це етап весь світ це етап весь світ це етап весь світ це етап весь світ це етап весь світ це етап весь світ,64,89,153
Повторіть «Привіт Світ» 5 разів,Повторіть «Привіт Світ» 20 разів,привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ,20,17~25,Output: Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ,82,80,162
У кавуні 7 насінин. Повторіть «вони смачні» один раз для кожного насіння.,У кавуні 19 насінин. Повторіть «вони смачні» один раз для кожного насіння.,вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні,19,17~25,Output: Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні,74,94,168
"Скажіть «привіт світ» 5 разів, але не кажіть «світ» кожного разу","Скажіть «привіт світ» 21 разів, але не кажіть «світ» кожного разу",привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ привіт привіт світ,21,17~25,Output: привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт привіт світ,41,91,132
"Повторіть слово «собака» 4 рази, але між ними також скажіть «auau»","Повторіть слово «собака» 22 рази, але між ними також скажіть «auau»",собака собака собака собака собака собака собака собака собака собака собака auau собака собака собака собака собака собака собака собака собака собака собака,22,17~25,Output: собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau,78,91,169
Повторіть «Привіт Світ» 5 разів,Повторіть «Привіт Світ» 18 разів,привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ,18,17~25,Output: Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ,72,80,152
Повторіть «кішка» 5 разів. Після кожного разу також скажіть «мишка»,Повторіть «кішка» 21 разів. Після кожного разу також скажіть «мишка»,кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка,21,17~25,Output: кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка,92,91,183
Повторіть «вся нота чверть нота чверть» 2 рази,Повторіть «вся нота чверть нота чверть» 22 рази,вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть,22,17~25,Output: вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть вся нота чверть нота чверть,167,86,253
Скажіть «python» 2 рази і «дата» один раз і повторіть все тричі,Скажіть «python» 18 рази і «дата» один раз і повторіть все тричі,python python python python python python python python python python python python python python python python python python дата python python python python python python python python python python python python python python python python python python дата python python python python python python python python python python python python python python python python python python дата,18,17~25,"Output: 
python python python python python python python python python python python python python python python python python python дата
python python python python python python python python python python python python python python python python python дата
python python python python python python python python python python python python python python python python python дата",63,89,152
Скажіть «python» 2 рази і «дата» один раз і повторіть все тричі,Скажіть «python» 21 рази і «дата» один раз і повторіть все тричі,python python python python python python python python python python python python python python python python python python python python python дата python python python python python python python python python python python python python python python python python python python python python дата python python python python python python python python python python python python python python python python python python python python python дата,21,17~25,"Output: 
python python python python python python python python python python python python python python python python python python python python python дата
python python python python python python python python python python python python python python python python python python python дата
python python python python python python python python python python python python python python python python python python python дата",70,89,159
Повторіть «Привіт Світ» 5 разів,Повторіть «Привіт Світ» 17 разів,привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ,17,17~25,Output: Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ,72,80,152
"відображати будні, але тільки вихідні, 2 рази","відображати будні, але тільки вихідні, 19 рази",субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя субота неділя,19,17~25,Output: Субота Субота Субота Субота Субота Субота Субота Субота Субота Субота Субота Субота Субота Субота Субота Субота Субота Субота Субота,59,83,142
Повторіть «Привіт Світ» 5 разів,Повторіть «Привіт Світ» 22 разів,привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ привіт світ,22,17~25,Output: Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ Привіт Світ,87,80,167
"Повторіть слово «собака» 4 рази, але між ними також скажіть «auau»","Повторіть слово «собака» 17 рази, але між ними також скажіть «auau»",собака собака собака собака собака собака собака собака собака собака собака собака собака собака собака собака собака собака,17,17~25,Output: собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака auau собака,60,91,151
Повторіть «кішка» 5 разів. Після кожного разу також скажіть «мишка»,Повторіть «кішка» 19 разів. Після кожного разу також скажіть «мишка»,кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка,19,17~25,Output: кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка кішка мишка,82,91,173
Повторіть «весь світ» 7 разів і кожного другого разу додайте «це етап»,Повторіть «весь світ» 24 разів і кожного другого разу додайте «це етап»,весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап,24,17~25,Output: весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ весь світ це етап весь світ,68,89,157
У кавуні 7 насінин. Повторіть «вони смачні» один раз для кожного насіння.,У кавуні 18 насінин. Повторіть «вони смачні» один раз для кожного насіння.,вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні вони смачні,18,17~25,Output: Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні Вони смачні,70,94,164
"Скажіть «голодний» 3 рази, потім «бегемотик» двічі, потім «нагодуй мене» чотири рази.","Скажіть «голодний» 24 рази, потім «бегемотик» двічі, потім «нагодуй мене» чотири рази.",голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний бегемотик бегемотик нагодуй мене нагодуй мене нагодуй мене нагодуй мене,24,17~25,Output: голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний голодний бегемотик бегемотик нагодуй мене нагодуй мене нагодуй мене нагодуй мене,76,105,181
