input,out,len,bins,pred
иванова смирнова петрова смирнова кузнецова дмиьтрий кузнецов серьгей еленаъ александръ андрей смирнов васильева серьгей анастасия кузнецова анна александръ ирина анна,а а а а а й в й ъ ъ й в а й я а а ъ а а,20,15~22,Выход: а а а а а й в й а р й в а й я а а р а а
андрей петров кузнецов андрей сeргей анна сергейъ кузнецова олга александръ попов алексей дмитьрий иванов серьгей,й в в й й а ъ а а ъ в й й в й,15,15~22,Выход: й в в й й а ъ а а р в й й в й
дмитьрий васильева андрей оьлга элена кузнецова смирнов петрова смирнова сeргей петров иванов алексей смирнова елена петров смирнова элена кузнецова иванов,й а й а а а в а а й в в й а а в а а а в,20,15~22,Выход: й а й а а а в а а й в в й а а в а а а в
елена андрей ъирина ъирина элена анна петрова дмиьтрий кузнецов дмитьрий дмитьрий александр смирнов оьлга кузнецов александръ,а й а а а а а й в й й р в а в ъ,16,15~22,Выход: а й а а а а а й в й й р в а в ъ
анна попов сeргей еленаъ алексей смирнова смирнова смирнов сергей анастасия александръ петров еленаъ сeргей сeргей кузнецова еленаъ андрей елена анастасия дмитьрий,а в й ъ й а а в й я ъ в ъ й й а ъ й а я й,21,15~22,Выход: а в й а й а а в й я р ъ в а й й а а й а я й
дмиьтрий петрова ъирина сергейъ сeргей дмиьтрий попов элена сергей иванов смирнова васильева алексей александръ елена ъирина,й а а ъ й й в а й в а а й ъ а а,16,15~22,Выход: й а а ъ й й в а й в а а й р а а
еленаъ ольга алексей дмиьтрий ирина смирнова иванов смирнов еленаъ смирнова петрова кузнецова ольга алексей александръ алексей иванова ольга ирина,ъ а й й а а в в ъ а а а а й ъ й а а а,19,15~22,Выход: ъ а й й а а в в ъ а а а а й й й а а а
олга ирина еленаъ петров васильева дмитьрий ирина смирнова анна кузнецов иванов кузнецов еленаъ еленаъ анастасия дмитьрий анна сергейъ оьлга,а а ъ в а й а а а в в в ъ ъ я й а ъ а,19,15~22,Выход: а а ъ в а й а а а в в в ъ ъ я й а й а
попов анастасия попов попов сергей петров смирнов иванов елена елена иванов смирнова кузнецов смирнова александр,в я в в й в в в а а в а в а р,15,15~22,Выход: в а в в й в в в а а в а в а р
ъирина олга александр сергейъ ольга оьлга андрей дмиьтрий александръ кузнецов сергей елена иванов сергей кузнецов александръ петрова дмитьрий элена,а а р ъ а а й й ъ в й а в й в ъ а й а,19,15~22,Выход: а а р ъ а а й й р ъ в й а а ъ а й а
сергей васильева оьлга ирина анна иванова ирина ольга сeргей ольга кузнецов ольга анна сeргей олга васильева,й а а а а а а а й а в а а й а а,16,15~22,Выход: й а а а а а а а й а в а а й а а
дмиьтрий еленаъ анастасия оьлга александр кузнецова ъирина кузнецова оьлга анна смирнов иванова сергейъ васильева елена петров,й ъ я а р а а а а а в а ъ а а в,16,15~22,Выход: й ъ я а р а а а а а в а ъ а а в
серьгей анна сeргей оьлга кузнецов олга попов ирина ирина васильева смирнов александръ ъирина еленаъ дмитьрий кузнецов ирина ъирина,й а й а в а в а а а в ъ а ъ й в а а,18,15~22,Выход: й а й а в а в а а а в р а а й в а а
смирнов алексей смирнов ольга еленаъ сергей петров александръ анна смирнов смирнова серьгей еленаъ дмитьрий сeргей петрова анастасия,в й в а ъ й в ъ а в а й ъ й й а я,17,15~22,Выход: в й в а ъ й в р а в а й а й й а я
еленаъ ъирина смирнов ирина еленаъ сергейъ александр сергейъ сeргей сeргей иванова александръ смирнова ъирина элена кузнецов елена ирина олга анастасия,ъ а в а ъ ъ р ъ й й а ъ а а а в а а а я,20,15~22,Выход: ъ а в а ъ ъ р ъ й й а р а а а в а а а я
элена петрова оьлга анна иванова александръ ъирина еленаъ сeргей александръ олга елена смирнова сергей кузнецов иванова петров смирнова олга,а а а а а ъ а ъ й ъ а а а й в а в а а,19,15~22,Выход: а а а а а ъ а ъ й ъ а а а й в а в а а
смирнова дмитьрий елена кузнецов кузнецова смирнова ирина элена иванов элена ирина дмиьтрий иванова кузнецова элена елена,а й а в а а а а в а а й а а а а,16,15~22,Выход: а й а в а а а а в а а й а а а а
васильева олга кузнецова анна александръ ольга петрова андрей петров александр еленаъ сeргей ольга попов алексей еленаъ елена олга,а а а а ъ а а й в р ъ й а в й ъ а а,18,15~22,Выход: а а а а ъ а а й в р а й а в й а а а
попов анастасия васильева сергей александръ анастасия иванов иванова александръ олга ъирина алексей кузнецов смирнов петров сергей элена смирнова ирина анна,в я а й ъ я в а ъ а а й в в в й а а а а,20,15~22,Выход: в а а й ъ я в а ъ а а й в в в й а а а а
петрова кузнецова дмитьрий васильева андрей елена дмитьрий сeргей елена кузнецов оьлга олга анастасия серьгей елена дмиьтрий иванов петрова ъирина,а а й а й а й й а в а а я й а й в а а,19,15~22,Выход: а а й а й а й й а в а а я й а й в а а
кузнецов сергей петров сергей елена смирнов олга ирина еленаъ олга смирнова петрова анастасия андрей смирнов алексей сeргей анна кузнецова оьлга,в й в й а в а а ъ а а а я й в й й а а а,20,15~22,Выход: в й в й а в а а ъ а а я й в й й а а
олга сeргей смирнов попов смирнова дмиьтрий дмитьрий ольга елена серьгей дмиьтрий анастасия попов ирина александръ еленаъ сeргей ольга,а й в в а й й а а й й я в а ъ ъ й а,18,15~22,Выход: а й в в а й й а а й й я в а р ъ а й а
смирнов васильева смирнов петров сергейъ васильева иванова дмитьрий иванов серьгей смирнов кузнецов ирина сeргей петрова александръ анастасия васильева петрова анна олга,в а в в ъ а а й в й в в а й а ъ я а а а а,21,15~22,Выход: в а в в ъ а а й в й в в а й а ъ я а а а а
элена иванова сергейъ дмиьтрий ольга ирина дмитьрий иванова сергейъ андрей олга сергейъ сергейъ смирнов смирнов дмиьтрий иванова смирнова иванов,а а ъ й а а й а ъ й а ъ ъ в в й а а в,19,15~22,Выход: а а ъ й а а й а ъ й а ъ ъ в в й а а в
андрей александр иванов серьгей еленаъ александр олга еленаъ васильева кузнецов сергейъ ъирина элена иванова олга,й р в й ъ р а ъ а в ъ а а а а,15,15~22,Выход: й р в й ъ р а ъ а в ъ а а а
еленаъ анна петрова дмитьрий смирнов васильева дмиьтрий васильева оьлга александр элена анна алексей кузнецов серьгей иванова андрей,ъ а а й в а й а а р а а й в й а й,17,15~22,Выход: ъ а а й в а й а а р а а й в й а й
алексей еленаъ кузнецов сергей васильева ирина олга кузнецова анна дмитьрий анастасия елена сергейъ иванова кузнецов попов,й ъ в й а а а а а й я а ъ а в в,16,15~22,Выход: й ъ в й а а а а й я а а ъ а в в
дмитьрий дмитьрий анна оьлга ирина попов сергей алексей кузнецов дмитьрий дмитьрий серьгей ъирина сeргей васильева иванов смирнова,й й а а а в й й в й й й а й а в а,17,15~22,Выход: й й а а а в й й в й й й а й а в а
андрей васильева петров александръ анастасия смирнова ольга ольга александръ кузнецова ъирина серьгей элена ольга иванов алексей александр кузнецова оьлга элена,й а в ъ я а а а ъ а а й а а в й р а а а,20,15~22,Выход: й а в р я а а а р а й й а а в й р а а а
петров кузнецова ирина элена сергей александр васильева иванова александр олга дмиьтрий петрова сергей петров кузнецов петров сeргей,в а а а й р а а р а й а й в в в й,17,15~22,Выход: в а а а й р а а р а й а й в в й
кузнецов серьгей алексей петрова кузнецова кузнецова анастасия ирина александръ васильева анна андрей иванова алексей елена,в й й а а а я а ъ а а й а й а,15,15~22,Выход: в й й а а а я а ъ а а й а й а а
смирнов андрей анна ольга серьгей александр еленаъ сергей еленаъ оьлга анна васильева дмиьтрий александръ александръ еленаъ сергей александръ,в й а а й р ъ й ъ а а а й ъ ъ ъ й ъ,18,15~22,Выход: в й а а й р ъ й ъ а а а й р ъ ъ ъ й р ъ
иванова елена анна алексей кузнецов элена иванов элена олга оьлга анна алексей сергей иванова анна сергейъ попов олга петров,а а а й в а в а а а а й й а а ъ в а в,19,15~22,Выход: а а а й в а в а а а а й й а й ъ в а в
петров серьгей ирина петрова сергей элена олга васильева серьгей елена петрова андрей смирнова серьгей сeргей попов дмиьтрий александр сергейъ петров,в й а а й а а а й а а й а й й в й р ъ в,20,15~22,Выход: в й а а й а а а й а а й а й в й р ъ в
еленаъ смирнова серьгей еленаъ оьлга алексей петрова ъирина петров кузнецова петров элена сергей александръ петрова сергей смирнов андрей серьгей дмитьрий,ъ а й ъ а й а а в а в а й ъ а й в й й й,20,15~22,Выход: ъ а й ъ а й а а в а в а й р ъ а й в й й й
андрей элена андрей дмиьтрий попов дмиьтрий дмитьрий попов дмитьрий смирнова петров анна алексей элена кузнецова анастасия,й а й й в й й в й а в а й а а я,16,15~22,Выход: й а й й в й й в й а в а й а а я
сергей кузнецов ольга сергейъ оьлга алексей сергейъ сергей сергейъ анастасия анастасия оьлга кузнецов иванов смирнов александр александр сергейъ дмиьтрий серьгей,й в а ъ а й ъ й ъ я я а в в в р р ъ й й,20,15~22,Выход: й в а ъ а й ъ й ъ я я а в в в р р ъ й й
анастасия дмиьтрий дмитьрий александр дмитьрий попов сeргей сeргей александръ ирина олга андрей анна смирнов александр дмитьрий оьлга олга дмитьрий сергей александръ,я й й р й в й й ъ а а й а в р й а а й й ъ,21,15~22,Выход: я й й р й в й й р ъ а а й а в р й а а й й р ъ
алексей александръ кузнецов смирнов ольга васильева еленаъ иванова петров васильева петрова ольга дмиьтрий анна васильева,й ъ в в а а ъ а в а а а й а а,15,15~22,Выход: й ъ в в а а а а в а а а й а а
александр элена анна ъирина сергейъ попов иванова ольга элена алексей васильева сергей елена дмиьтрий ольга анна смирнова петрова сергейъ,р а а а ъ в а а а й а й а й а а а а ъ,19,15~22,Выход: р а а а ъ в а а а й а й а й а а а а ъ
иванов анна сeргей ольга попов сергей ирина попов смирнова кузнецов элена александръ ирина алексей анастасия олга андрей андрей иванова ирина,в а й а в й а в а в а ъ а й я а й й а а,20,15~22,Выход: в а й а в й а в а в а ръ а й я а й й а а
элена анна смирнова елена анастасия сeргей серьгей анна смирнова оьлга анна александръ оьлга сергей алексей,а а а а я й й а а а а ъ а й й,15,15~22,Выход: а а а а я й й а а а а р а а й й
андрей анна смирнова серьгей алексей кузнецов дмиьтрий дмитьрий алексей анна кузнецов александр дмиьтрий элена кузнецов елена попов олга смирнова ъирина,й а а й й в й й й а в р й а в а в а а а,20,15~22,Выход: й а а й й в й й й а в р й а в а в а а а
попов оьлга анна ъирина дмитьрий иванова елена александръ алексей анна ирина сeргей елена анна иванов иванов андрей дмитьрий иванова,в а а а й а а ъ й а а й а а в в й й а,19,15~22,Выход: в а а а й а а ъ й а а й а а в в й й а
ольга кузнецова дмиьтрий попов петров александръ кузнецова анна елена дмиьтрий ольга ольга ъирина петров смирнова васильева олга смирнов ирина,а а й в в ъ а а а й а а а в а а а в а,19,15~22,Выход: а а й в в ъ а а а й а а а в а а а в а
ольга алексей елена иванов кузнецова дмиьтрий смирнова иванова александр елена ъирина дмиьтрий ъирина ирина александръ сергейъ смирнов еленаъ,а й а в а й а а р а а й а а ъ ъ в ъ,18,15~22,Выход: а й а в а й а а р а й й а р ъ ъ в а
элена александръ анастасия андрей иванов петров сeргей иванов васильева анастасия попов иванова ольга анастасия петров,а ъ я й в в й в а я в а а я в,15,15~22,Выход: а ъ я й в в й в а я в а я в
дмитьрий кузнецова кузнецова сeргей александръ дмиьтрий смирнов анна ольга анастасия кузнецов александръ олга олга олга смирнова сергейъ петров,й а а й ъ й в а а я в ъ а а а а ъ в,18,15~22,Выход: й а а й ъ й в а а я в ъ а а а а й ъ в
александр петрова попов ирина сергей елена александръ ольга кузнецова кузнецова элена петрова серьгей сергейъ алексей смирнова попов,р а в а й а ъ а а а а а й ъ й а в,17,15~22,Выход: р а в а й а р а а а а а й й й а в
андрей ольга оьлга иванова александр сeргей еленаъ васильева анна кузнецова оьлга оьлга серьгей александр оьлга сeргей александръ попов олга ъирина оьлга,й а а а р й ъ а а а а а й р а й ъ в а а а,21,15~22,Выход: й а а а р й а в а а а а й р а й р ъ в а а а
сeргей андрей петров елена олга иванов смирнов сергей петров иванова смирнова елена иванова петрова ольга анна серьгей иванов ирина иванова дмиьтрий,й й в а а в в й в а а а а а а а й в а а й,21,15~22,Выход: й й в а а в в й в а а а а а а а й в а а й
дмитьрий алексей дмитьрий сергейъ смирнова александр ъирина дмитьрий петров иванов елена иванова васильева петров алексей дмитьрий олга кузнецова петров дмитьрий кузнецов,й й й ъ а р а й в в а а а в й й а а в й в,21,15~22,Выход: й й й ъ а р а й в в а а в й й а а в й в
ольга ирина кузнецова дмитьрий александр ирина анастасия ольга оьлга кузнецов кузнецов анна анна сeргей иванов васильева попов анна дмитьрий александръ,а а а й р а я а а в в а а й в а в а й ъ,20,15~22,Выход: а а а й р а я а а в в а а й в а в а й р ъ
кузнецов ольга андрей иванова иванов дмиьтрий сергей сергей петров сeргей еленаъ александр андрей смирнов анастасия кузнецов петрова ъирина васильева сeргей иванова,в а й а в й й й в й ъ р й в я в а а а й а,21,15~22,Выход: в а й а в й й й в й а р й в я в а а а й а
васильева смирнова элена элена серьгей петрова ольга ирина петрова андрей серьгей иванов кузнецова андрей александръ элена иванов петрова ъирина,а а а а й а а а а й й в а й ъ а в а а,19,15~22,Выход: а а а а й а а а а й й в а й р ъ а в а а
ирина серьгей попов элена сергей смирнов анастасия элена иванов еленаъ сeргей олга дмитьрий дмиьтрий дмитьрий олга элена анна сергейъ петрова элена,а й в а й в я а в ъ й а й й й а а а ъ а а,21,15~22,Выход: а й в а й в а а в а й а й й й а а а й а а а
елена ъирина алексей кузнецова еленаъ александр елена смирнова ирина иванов кузнецов попов елена дмиьтрий сергей серьгей,а а й а ъ р а а а в в в а й й й,16,15~22,Выход: а а й а ъ р а а в в в в а й й й
андрей иванов кузнецова васильева андрей олга сeргей оьлга анастасия ольга сeргей иванов сeргей серьгей еленаъ ъирина алексей,й в а а й а й а я а й в й й ъ а й,17,15~22,Выход: й в а а й а й а я а й в й й а ъ а й
анастасия еленаъ смирнова элена элена сeргей,я ъ а а а й,6,1~8,Выход: я ъ а а а й
елена ъирина,а а,2,1~8,Выход: а а
дмиьтрий сергей смирнов дмитьрий дмитьрий васильева андрей,й й в й й а й,7,1~8,Выход: й й в й й а й
ъирина кузнецова васильева дмитьрий,а а а й,4,1~8,Выход: а а а й
сергей дмиьтрий попов олга,й й в а,4,1~8,Выход: й й в а
еленаъ петров андрей олга ъирина олга петров,ъ в й а а а в,7,1~8,Выход: ъ в й а а а в
кузнецов алексей олга кузнецова сергей ъирина,в й а а й а,6,1~8,Выход: в й а а й а
анна кузнецов алексей анастасия смирнов петрова,а в й я в а,6,1~8,Выход: а в й я в а
сергей петров сергейъ елена,й в ъ а,4,1~8,Выход: й в й а
смирнов анастасия дмиьтрий елена сeргей смирнов элена,в я й а й в а,7,1~8,Выход: в а й а й в а
кузнецов серьгей,в й,2,1~8,Выход: в й
смирнова дмиьтрий анастасия иванова смирнова,а й я а а,5,1~8,Выход: а й а а а
сeргей попов елена александръ смирнова кузнецов дмитьрий,й в а ъ а в й,7,1~8,Выход: й в а ъ а в й
петров александр анна ирина,в р а а,4,1~8,Выход: в р а а
дмиьтрий оьлга ирина кузнецова алексей элена,й а а а й а,6,1~8,Выход: й а а а й а
иванов петрова александръ сергейъ,в а ъ ъ,4,1~8,Выход: в а ъ ъ
васильева андрей олга иванов алексей алексей,а й а в й й,6,1~8,Выход: а й а в й й
андрей дмитьрий александр иванов попов александръ алексей,й й р в в ъ й,7,1~8,Выход: й й р в в ъ й
алексей алексей александр дмитьрий дмитьрий иванова,й й р й й а,6,1~8,Выход: й й р й й а
серьгей серьгей попов александр,й й в р,4,1~8,Выход: й й в р
дмитьрий васильева ирина васильева оьлга васильева елена,й а а а а а а,7,1~8,Выход: й а а а а а а
иванов сергейъ дмитьрий элена,в ъ й а,4,1~8,Выход: в ъ й а
серьгей иванов кузнецов анастасия иванова кузнецова,й в в я а а,6,1~8,Выход: й в в а а а
сeргей сергейъ александр кузнецова,й ъ р а,4,1~8,Выход: й ъ р а
иванов смирнова,в а,2,1~8,Выход: в а
элена олга дмитьрий олга ъирина еленаъ элена,а а й а а ъ а,7,1~8,Выход: а а й а а а а
сергей ольга васильева александръ иванов петрова,й а а ъ в а,6,1~8,Выход: й а а ъ в а
дмитьрий александръ сергейъ,й ъ ъ,3,1~8,Выход: й д ъ
элена александръ петрова,а ъ а,3,1~8,Выход: а ъ а
петров ольга петрова сергейъ андрей попов александр,в а а ъ й в р,7,1~8,Выход: в а а ъ й в р
елена иванова андрей серьгей сергейъ,а а й й ъ,5,1~8,Выход: а а й й ъ
ольга кузнецова анна,а а а,3,1~8,Выход: а а а
ольга еленаъ сергейъ александр,а ъ ъ р,4,1~8,Выход: а ъ ъ р
сергей ольга александр дмиьтрий серьгей дмитьрий,й а р й й й,6,1~8,Выход: й а р й й й
петров кузнецова кузнецов попов сeргей алексей,в а в в й й,6,1~8,Выход: в а в в й й
ольга анна андрей александръ анастасия еленаъ,а а й ъ я ъ,6,1~8,Выход: а а й ъ я а
елена александр дмиьтрий петрова иванова анастасия,а р й а а я,6,1~8,Выход: а р й а а я
иванов кузнецов кузнецов,в в в,3,1~8,Выход: в в в
петров элена ольга анастасия олга анна иванов,в а а я а а в,7,1~8,Выход: в а а я а а в
андрей иванова сергейъ дмитьрий иванов,й а ъ й в,5,1~8,Выход: й а ъ й в
элена петров ъирина андрей элена,а в а й а,5,1~8,Выход: а в а й а
анна попов дмитьрий ольга елена ъирина ирина,а в й а а а а,7,1~8,Выход: а в й а а а а
смирнова елена попов,а а в,3,1~8,Выход: а а в
оьлга попов,а в,2,1~8,Выход: а в
оьлга сергей,а й,2,1~8,Выход: а й
петрова андрей ъирина александр иванов,а й а р в,5,1~8,Выход: а й а р в
смирнов оьлга петров серьгей сергей андрей,в а в й й й,6,1~8,Выход: в а в й й й
васильева дмиьтрий ирина иванова оьлга кузнецова,а й а а а а,6,1~8,Выход: а й а а а а
сергейъ серьгей еленаъ васильева кузнецова,ъ й ъ а а,5,1~8,Выход: ъ й а а а
серьгей анна серьгей кузнецова петров васильева,й а й а в а,6,1~8,Выход: й а й а в а
иванов анастасия еленаъ васильева сергей,в я ъ а й,5,1~8,Выход: в а ъ а й
дмиьтрий элена алексей васильева,й а й а,4,1~8,Выход: й а й а
сергей иванов смирнов,й в в,3,1~8,Выход: й в в
васильева дмиьтрий петрова анастасия еленаъ,а й а я ъ,5,1~8,Выход: а й а я ъ
смирнова элена,а а,2,1~8,Выход: а а
оьлга васильева серьгей дмиьтрий анастасия,а а й й я,5,1~8,Выход: а а й й я
ольга ирина елена васильева андрей петров,а а а а й в,6,1~8,Выход: а а а а й в
кузнецова смирнова олга,а а а,3,1~8,Выход: а а а
олга александр олга алексей еленаъ смирнова,а р а й ъ а,6,1~8,Выход: а р а й ъ а
сергей петров дмитьрий васильева иванов иванов,й в й а в в,6,1~8,Выход: й в й а в в
серьгей иванова сергей элена,й а й а,4,1~8,Выход: й а й а
смирнов олга иванов серьгей ъирина,в а в й а,5,1~8,Выход: в а в й а
андрей иванова серьгей ирина дмитьрий,й а й а й,5,1~8,Выход: й а й а й
смирнов александр попов серьгей кузнецов андрей,в р в й в й,6,1~8,Выход: в р в й в й
сeргей оьлга,й а,2,1~8,Выход: й а
иванов кузнецов сергейъ серьгей андрей,в в ъ й й,5,1~8,Выход: в в ъ й й
смирнов анастасия ирина анастасия андрей андрей кузнецов,в я а я й й в,7,1~8,Выход: в а а я й й в
иванов иванов серьгей александръ васильева анна сергейъ,в в й ъ а а ъ,7,1~8,Выход: в в й ъ а а ъ
дмитьрий иванова анастасия,й а я,3,1~8,Выход: й а я
дмиьтрий ольга анастасия петрова анна андрей ольга,й а я а а й а,7,1~8,Выход: й а я а а й а
анастасия дмиьтрий серьгей,я й й,3,1~8,Выход: а й й
анна елена сергейъ,а а ъ,3,1~8,Выход: а а ъ
елена оьлга петрова иванова александръ сергейъ,а а а а ъ ъ,6,1~8,Выход: а а а а р ъ
смирнов александръ ольга,в ъ а,3,1~8,Выход: в ъ а
оьлга ольга смирнов петров васильева,а а в в а,5,1~8,Выход: а а в в а
васильева смирнова алексей кузнецов ъирина ъирина элена кузнецов васильева александр александръ ъирина андрей васильева андрей смирнов кузнецова петрова васильева кузнецова сергейъ олга алексей,а а й в а а а в а р ъ а й а й в а а а а ъ а й,23,22~30,Выход: а а й в а а а в а р д ъ а й а й в а а в а й а й
анастасия кузнецова дмитьрий иванов иванова смирнов еленаъ оьлга еленаъ александръ элена иванова александръ петров иванова ольга алексей андрей еленаъ сергейъ васильева алексей кузнецов алексей попов,я а й в а в ъ а ъ ъ а а ъ в а а й й ъ ъ а й в й в,25,22~30,Выход: я а й в а в а а а р а а р в а а й й й й в а й в
анна елена сергей элена смирнова попов смирнова оьлга сергейъ александръ кузнецова смирнов сeргей олга васильева петров васильева елена оьлга дмитьрий еленаъ анастасия сергей анна андрей анастасия олга смирнова серьгей,а а й а а в а а ъ ъ а в й а а в а а а й ъ я й а й я а а й,29,22~30,Выход: а а й а а в а а й р а в й а в а а а й а а й я й а й а я а й
васильева кузнецов анастасия элена серьгей ирина елена сергей ъирина сергей алексей попов смирнова ирина петров александр смирнова андрей ольга анна сeргей оьлга ирина андрей сeргей еленаъ,а в я а й а а й а й й в а а в р а й а а й а а й й ъ,26,22~30,Выход: а в а а й а а й а й й в а а в р а й а а й а а й й а
иванов анна иванов элена алексей олга алексей андрей анна олга смирнова петров смирнов сeргей иванов александр ъирина олга ъирина смирнов петрова анастасия элена ъирина петрова петров александръ сергейъ иванов,в а в а й а й й а а а в в й в р а а а в а я а а а в ъ ъ в,29,22~30,Выход: в а в а й а й й а а а в в в й в р а а р а а а в а я я в
иванова еленаъ кузнецова олга кузнецов серьгей петрова элена ирина сергей анна васильева оьлга петрова дмиьтрий иванова петров сергейъ сергей васильева оьлга ольга,а ъ а а в й а а а й а а а а й а в ъ й а а а,22,22~30,Выход: а ъ а а в й а а а й а а а а й а в й й а а а а
анна смирнова смирнов александр кузнецов дмитьрий елена петров серьгей смирнов дмитьрий петрова васильева александръ иванова дмитьрий ъирина иванов дмиьтрий кузнецов алексей олга ольга иванов андрей ъирина,а а в р в й а в й в й а а ъ а й а в й в й а а в й а,26,22~30,Выход: а а в р в й а в й в а р а й а в й в й й а й а а а й а
сергейъ алексей александръ ольга серьгей олга дмиьтрий дмиьтрий кузнецова иванов александръ смирнов серьгей смирнова смирнова оьлга дмиьтрий иванов сергей петров смирнова кузнецов оьлга кузнецов анна дмитьрий,ъ й ъ а й а й й а в ъ в й а а а й в й в а в а в а й,26,22~30,Выход: ъ й р а й а й й а в р в й а а а й в й в а в а а й
ъирина кузнецов андрей ирина оьлга олга васильева иванова дмитьрий сергейъ иванов кузнецов иванова ольга елена смирнова анна ольга петров алексей алексей сeргей елена,а в й а а а а а й ъ в в а а а а а а в й й й а,23,22~30,Выход: а в й а а а а а й ъ в в а а а а в й й й а
дмиьтрий анастасия анна еленаъ кузнецов кузнецов петров смирнова кузнецова кузнецова дмиьтрий дмитьрий ирина иванова дмиьтрий сeргей элена оьлга иванова сeргей оьлга анна елена сeргей,й я а ъ в в в а а а й й а а й й а а а й а а а й,24,22~30,Выход: й а а ъ в в в а а й й й а а й й а а а й а а а й
анна анна сeргей серьгей елена васильева оьлга васильева ъирина ирина серьгей елена элена иванов ъирина попов васильева анна анна иванова ольга иванова иванов дмитьрий ольга сергей олга петров кузнецов,а а й й а а а а а а й а а в а в а а а а а а в й а й а в в,29,22~30,Выход: а а й й а а а а а а й а а в а в а а а а а а в а а й а а в в й а й в
