input,out,len,bins,pred
Marcos Luiz Fernanda Gabriel Antonia Julia Rafael Francisco Rafael Amanda Antonia Julia Lucas Pedro Luiz,s z a l a a l o l a a a s o z,15,15~22,Output: s z a l a a l o l a a a s o z
Adriana Aline Julia Marcelo Antonio Julia Luciana Pedro Amanda Camila Amanda Fernanda Marcos Paulo Juliana,a e a o o a a o a a a a s o a,15,15~22,Output: a e a o o a a o a a a a s o a
Marcos Antonio Marcelo Jose Bruna Paulo Patricia Adriana Francisca Juliana Bruna Marcia Fernanda Carlos Bruno Leticia,s o o e a o a a a a a a a s o a,16,15~22,Output: s o o e a o a a a a a a a s o a
Gabriel Jose Amanda Francisco Luis Maria Francisca Adriana Adriana Antonio Luis Maria Marcos Maria Adriana Juliana,l e a o s a a a a o s a s a a a,16,15~22,Output: l e a o s a a a o s a s a a a
Pedro Julia Daniel Adriana Francisco Maria Antonia Maria Mariana Rafael Patricia Carlos Antonio Marcos Luis Mariana Jose Luiz Luiz,o a l a o a a a a l a s o s s a e z z,19,15~22,Output: o a l a o a a a l a s o s s a e z z
Antonia Luciana Amanda Camila Leticia Amanda Bruna Bruna Luis Rafael Camila Gabriel Francisco Amanda Luciana Carlos Marcos Leticia Jose Gabriel,a a a a a a a a s l a l o a a s s a e l,20,15~22,Output: a a a a a a a a s l a l o a a s a a e l
Amanda Patricia Joao Bruna Marcos Rafael Antonia Fernanda Luciana Luciana Mariana Sandra Lucas Leticia Julia Marcia Eduardo,a a o a s l a a a a a a s a a a o,17,15~22,Output: a a o a s l a a a a a a s a a a o
Luis Leticia Bruno Luciana Daniel Carlos Marcia Jessica Bruna Camila Luciana Daniel Luis Camila Carlos Francisca,s a o a l s a a a a a l s a s a,16,15~22,Output: s a o a l s a a a a a l s a s a
Rafael Daniel Daniel Luciana Julia Mariana Rafael Bruna Marcelo Francisca Juliana Antonia Luiz Pedro Joao Antonia Marcos Eduardo,l l l a a a l a o a a a z o o a s o,18,15~22,Output: l l l a a a l a o a a a z o o a s o
Juliana Lucas Jessica Juliana Sandra Antonio Antonia Fernanda Luciana Marcia Marcia Antonio Juliana Gabriel Leticia Vanessa,a s a a a o a a a a a o a l a a,16,15~22,Output: a s a a a o a a a a o a l a a
Vanessa Marcia Eduardo Luciana Francisco Antonia Maria Marcelo Bruno Joao Leticia Maria Julia Eduardo Luiz Patricia Francisca Luciana,a a o a o a a o o o a a a o z a a a,18,15~22,Output: a a o a o a a o o o a a a o z a a a
Bruno Amanda Julia Jessica Joao Francisco Daniel Lucas Julia Sandra Daniel Lucas Marcelo Sandra Leticia Rafael,o a a a o o l s a a l s o a a l,16,15~22,Output: o a a a o o l s a a l o a a l
Juliana Carlos Eduardo Juliana Marcos Francisca Vanessa Leticia Julia Lucas Jessica Julia Sandra Leticia Jose Sandra,a s o a s a a a a s a a a a e a,16,15~22,Output: a s o a s a a a a s a a a e a
Adriana Vanessa Luciana Francisca Marcos Aline Rafael Luciana Jose Aline Julia Camila Camila Luiz Vanessa Juliana Gabriel,a a a a s e l a e e a a a z a a l,17,15~22,Output: a a a a s e l a e e a a z a a l
Leticia Ana Paulo Eduardo Luis Amanda Patricia Marcelo Lucas Mariana Vanessa Antonio Paulo Eduardo Daniel Lucas,a a o o s a a o s a a o o o l s,16,15~22,Output: a a o o s a a o s a a o o o l s
Aline Daniel Fernanda Ana Jose Eduardo Luis Carlos Marcia Ana Francisco Antonio Carlos Juliana Leticia Fernanda Leticia Luis Francisca Gabriel Vanessa,e l a a e o s s a a o o s a a a a s a l a,21,15~22,Output: e l a a e o s s a a o o s a a a a a l a
Joao Fernanda Aline Leticia Maria Aline Francisca Antonia Luiz Fernanda Julia Amanda Pedro Marcelo Adriana Amanda,o a e a a e a a z a a a o o a a,16,15~22,Output: o a e a a e a a z a a a o o a a
Eduardo Luiz Jessica Vanessa Fernanda Bruno,o z a a a o,6,1~8,Output: o z a a a o
Pedro Eduardo Joao Bruno Juliana,o o o o a,5,1~8,Output: o o o o a
Luciana Marcos Adriana Marcelo Rafael Julia Eduardo,a s a o l a o,7,1~8,Output: a s a o l a o
Marcelo Julia Vanessa Luiz,o a a z,4,1~8,Output: o a a z
Paulo Fernanda,o a,2,1~8,Output: o a
Leticia Patricia Carlos Fernanda Eduardo Luiz,a a s a o z,6,1~8,Output: a a s a o z
Amanda Antonia Daniel Luis Camila Leticia Sandra,a a l s a a a,7,1~8,Output: a a l s a a a
Julia Rafael,a l,2,1~8,Output: a l
Sandra Antonia Carlos Leticia,a a s a,4,1~8,Output: a a s a
Ana Adriana Luiz Francisca Leticia,a a z a a,5,1~8,Output: a a z a a
Luciana Jessica Camila,a a a,3,1~8,Output: a a a
Bruna Carlos,a s,2,1~8,Output: a s
Pedro Aline,o e,2,1~8,Output: o e
Francisca Adriana Carlos Amanda,a a s a,4,1~8,Output: a a s a
Antonia Marcelo Pedro Maria,a o o a,4,1~8,Output: a o o a
Sandra Julia Marcia Adriana Amanda,a a a a a,5,1~8,Output: a a a a a
Antonia Marcos Eduardo,a s o,3,1~8,Output: a s o
Luis Marcia Pedro Marcelo Fernanda Maria,s a o o a a,6,1~8,Output: s a o o a a
Fernanda Adriana,a a,2,1~8,Output: a a
Rafael Luiz Jessica Marcelo Vanessa Antonia,l z a o a a,6,1~8,Output: l z a o a a
Julia Adriana Julia Marcelo Ana,a a a o a,5,1~8,Output: a a a o a
Jessica Pedro Marcelo Leticia,a o o a,4,1~8,Output: a o o a
Marcos Mariana,s a,2,1~8,Output: s a
Patricia Antonia Francisco Camila Mariana Aline Luciana,a a o a a e a,7,1~8,Output: a a o a a e a
Bruno Sandra Joao,o a o,3,1~8,Output: o a o
Gabriel Paulo Gabriel Julia Patricia Sandra,l o l a a a,6,1~8,Output: l o l a a a
Marcos Julia Fernanda Patricia Daniel Bruna,s a a a l a,6,1~8,Output: s a a a l a
Bruna Marcelo Marcia Luiz Daniel Ana,a o a z l a,6,1~8,Output: a o a z l a
Luiz Daniel Aline Gabriel Vanessa Aline,z l e l a e,6,1~8,Output: z l e l a e
Camila Lucas Antonio,a s o,3,1~8,Output: a s o
Luis Pedro Gabriel,s o l,3,1~8,Output: s o l
Lucas Gabriel Ana Juliana Bruna,s l a a a,5,1~8,Output: s l a a a
Joao Carlos,o s,2,1~8,Output: o s
Jose Jessica Luciana,e a a,3,1~8,Output: e a a
Bruno Rafael Maria Luis,o l a s,4,1~8,Output: o l a s
Francisco Gabriel Paulo Julia Julia,o l o a a,5,1~8,Output: o l o a a
Juliana Amanda Francisca,a a a,3,1~8,Output: a a a
Francisco Mariana Antonio Rafael Antonia Paulo Sandra,o a o l a o a,7,1~8,Output: o a o l a o a
Paulo Julia Maria Luis Maria Julia Juliana,o a a s a a a,7,1~8,Output: o a a s a a a
Sandra Luciana Jose Daniel Ana Julia,a a e l a a,6,1~8,Output: a a e l a a
Ana Pedro Carlos Gabriel,a o s l,4,1~8,Output: a o s l
Luiz Adriana Camila Camila Francisco,z a a a o,5,1~8,Output: z a a a o
Lucas Patricia Ana Juliana Camila Camila,s a a a a a,6,1~8,Output: s a a a a a
Fernanda Joao Daniel Lucas Jessica,a o l s a,5,1~8,Output: a o l s a
Maria Fernanda Camila Marcos Francisca,a a a s a,5,1~8,Output: a a a s a
Patricia Vanessa Eduardo Bruna Amanda Carlos,a a o a a s,6,1~8,Output: a a o a a s
Luiz Marcia Maria Sandra Ana Mariana,z a a a a a,6,1~8,Output: z a a a a a
Daniel Camila,l a,2,1~8,Output: l a
Rafael Jose Vanessa,l e a,3,1~8,Output: l e a
Paulo Jose Ana Leticia,o e a a,4,1~8,Output: o e a a
Camila Eduardo,a o,2,1~8,Output: a o
Antonio Daniel Pedro Amanda Eduardo Jessica,o l o a o a,6,1~8,Output: o l o a o a
Bruno Antonio Patricia,o o a,3,1~8,Output: o o a
Antonia Daniel Francisca Amanda Marcos Patricia Camila,a l a a s a a,7,1~8,Output: a l a a s a a
Bruna Daniel Vanessa Eduardo,a l a o,4,1~8,Output: a l a o
Antonio Mariana Luiz Ana Joao Marcelo,o a z a o o,6,1~8,Output: o a z a o o
Jessica Juliana Patricia Fernanda,a a a a,4,1~8,Output: a a a a
Pedro Marcelo Patricia Pedro,o o a o,4,1~8,Output: o o a o
Maria Juliana Jose Patricia Julia Luciana,a a e a a a,6,1~8,Output: a a e a a a
Luis Marcia Luis Francisco Luiz,s a s o z,5,1~8,Output: s a s o z
Joao Jessica Patricia Marcos Marcos Patricia Julia,o a a s s a a,7,1~8,Output: o a a s s a a
Carlos Mariana Francisco Marcia Lucas,s a o a s,5,1~8,Output: s a o a s
Lucas Lucas Eduardo,s s o,3,1~8,Output: s s o
Mariana Mariana Paulo Francisca,a a o a,4,1~8,Output: a a o a
Bruno Fernanda Juliana Fernanda Marcia Camila,o a a a a a,6,1~8,Output: o a a a a a
Francisco Adriana,o a,2,1~8,Output: o a
Julia Luciana Adriana,a a a,3,1~8,Output: a a a
Aline Maria Adriana,e a a,3,1~8,Output: e a a
Marcelo Adriana Daniel Maria Antonio,o a l a o,5,1~8,Output: o a l a o
Maria Camila Maria Ana,a a a a,4,1~8,Output: a a a a
Aline Fernanda,e a,2,1~8,Output: e a
Fernanda Fernanda Luiz Carlos Amanda,a a z s a,5,1~8,Output: a a z s a
Luiz Joao Pedro Gabriel Aline Marcia,z o o l e a,6,1~8,Output: z o o l e a
Patricia Luiz Patricia,a z a,3,1~8,Output: a z a
Mariana Luiz Luis Paulo,a z s o,4,1~8,Output: a z s o
Lucas Amanda Paulo Gabriel Patricia Bruna Camila Eduardo Julia Rafael Adriana Jessica Juliana Ana Carlos Julia Amanda Luiz Carlos Maria Leticia Jessica Amanda,s a o l a a a o a l a a a a s a a z s a a a a,23,22~30,Output: s a o l a a a o a l a a a a s a a z s a a a a a a a
Francisco Jessica Daniel Amanda Francisca Carlos Daniel Paulo Vanessa Lucas Francisca Vanessa Amanda Patricia Antonia Bruna Leticia Carlos Luis Antonia Aline Rafael Bruna Carlos,o a l a a s l o a s a a a a a a a s s a e l a s,24,22~30,Output: o a l a a s l o s a a a a a a a e a a s
Patricia Jose Aline Pedro Francisca Maria Julia Francisca Jessica Francisca Rafael Antonia Adriana Sandra Carlos Leticia Carlos Sandra Antonia Luciana Bruna Amanda Bruna,a e e o a a a a a a l a a a s a s a a a a a a,23,22~30,Output: a e e o a a a a a l a a a a s a s a a a a a a a a a
Lucas Bruna Daniel Antonia Bruno Gabriel Aline Adriana Antonio Luiz Ana Francisca Gabriel Bruno Aline Sandra Fernanda Francisca Fernanda Marcia Jose Aline Adriana Rafael Julia Aline,s a l a o l e a o z a a l o e a a a a a e e a l a e,26,22~30,Output: s a l a o l e a o z a a l o e a a a a e a a l a e
Bruna Bruno Marcia Camila Paulo Marcia Eduardo Rafael Mariana Julia Antonia Lucas Aline Jose Francisca Lucas Maria Luis Rafael Marcelo Francisca Antonio,a o a a o a o l a a a s e e a s a s l o a o,22,22~30,Output: a o a a o a o l a a a s e e a s a s l o a o
Julia Mariana Paulo Maria Maria Marcos Sandra Joao Gabriel Marcos Amanda Luciana Luiz Marcelo Aline Carlos Juliana Vanessa Gabriel Francisco Vanessa Ana Rafael Patricia Rafael Francisco Fernanda Julia Jessica,a a o a a s a o l s a a z o e s a a l o a a l a l o a a a,29,22~30,Output: a a o a a s a o l s a a z o e s a a l o a a a a a a a a a a a a
Luiz Sandra Luciana Lucas Joao Fernanda Amanda Antonio Ana Francisco Juliana Amanda Rafael Gabriel Ana Julia Leticia Bruna Antonio Camila Marcelo Daniel,z a a s o a a o a o a a l l a a a a o a o l,22,22~30,Output: z a a s o a a o a o a a l l a a a o a o l
Vanessa Francisca Bruna Sandra Eduardo Eduardo Mariana Marcia Vanessa Ana Julia Ana Marcelo Daniel Julia Julia Amanda Bruna Ana Maria Bruna Juliana Francisco Eduardo Rafael,a a a a o o a a a a a a o l a a a a a a a a o o l,25,22~30,Output: a a a a o o a a a a a a o l a a a a a a a a o o l
Ana Luis Francisco Maria Ana Paulo Antonia Fernanda Pedro Luis Paulo Marcelo Rafael Julia Jose Camila Luiz Amanda Antonio Juliana Lucas Juliana Jose Eduardo Daniel Leticia,a s o a a o a a o s o o l a e a z a o a s a e o l a,26,22~30,Output: a s o a a o a a o s o o l a e a z a o a s a a e o l a
Antonio Mariana Aline Maria Jessica Carlos Fernanda Joao Bruno Francisca Fernanda Adriana Antonio Francisco Fernanda Rafael Luciana Antonio Maria Sandra Paulo Francisca Leticia Joao Sandra Paulo Bruno,o a e a a s a o o a a a o o a l a o a a o a a o a o o,27,22~30,Output: o a e a a s a o o a a a o o a l a o a a o a a o a a o
Juliana Juliana Rafael Sandra Bruna Patricia Marcia Marcos Daniel Patricia Daniel Aline Jessica Camila Jessica Daniel Luciana Sandra Francisco Francisca Joao Marcelo Patricia Amanda Antonia Sandra Luiz Fernanda Rafael,a a l a a a a s l a l e a a a l a a o a o o a a a a z a l,29,22~30,Output: a a l a a a a s l a e a a a l a a o a a a a a a z a l
Adriana Marcos Antonia Fernanda Aline Leticia Francisco Maria Leticia Juliana Adriana Ana Antonia Antonio Marcia Marcelo Antonio Rafael Bruno Francisca Marcelo Joao Julia Paulo,a s a a e a o a a a a a a o a o o l o a o o a o,24,22~30,Output: a s a a e a o a a a a a a o a o o l o a o o a o
Rafael Bruna Marcelo Luiz Luiz Jose Mariana Bruno Julia Sandra Pedro Marcia Antonio Bruno Antonia Joao Luciana Amanda Maria Vanessa Marcia Amanda Francisca Antonia Mariana,l a o z z e a o a a o a o o a o a a a a a a a a a,25,22~30,Output: l a o z z e a o a a o a o o a o a a a a a a a a a a a a
Adriana Julia Eduardo Aline Camila Bruno Amanda Lucas Francisca Bruno Antonia Carlos Adriana Gabriel Antonio Maria Antonio Antonio Lucas Eduardo Luciana Vanessa,a a o e a o a s a o a s a l o a o o s o a a,22,22~30,Output: a a o e a o a s a o a s a l o a o o s o a a a
