input,out,len,bins,pred,total-tokens,prompt-tokens,completion-tokens
Antonio Vanessa Gabriel Amanda Luiz Rafael Sandra Vanessa Francisca Jessica Eduardo Lucas Luis Pedro Daniel,o a l a z l a a a a o s s o l,15,15~22,Output: o a l a a z l a a a a o d l,198,182,16
Patricia Adriana Jose Luiz Camila Camila Bruna Bruno Pedro Jessica Adriana Ana Patricia Marcia Joao Paulo Leticia Leticia Marcos Fernanda,a a e z a a a o o a a a a a o o a a s a,20,15~22,Output: a a e z a a a a o a a a a a a a a,217,198,19
Leticia Bruna Maria Marcos Lucas Marcos Julia Luis Paulo Luis Carlos Marcelo Lucas Bruno Ana Bruno Rafael Rafael Bruno Paulo,a a a s s s a s o s s o s o a o l l o o,20,15~22,Output: a a a s s s a l u o l o o u o o,207,189,18
Antonio Jessica Camila Mariana Jose Adriana Leticia Maria Antonio Julia Fernanda Francisco Daniel Bruna Pedro Marcelo Marcia Aline Fernanda Gabriel,o a a a e a a a o a a o l a o o a e a l,20,15~22,Output: o a a a a e a a a a o a a a a a a o,216,196,20
Leticia Marcia Luciana Paulo Daniel Paulo Francisca Francisco Lucas Pedro Carlos Daniel Bruno Lucas Pedro Amanda Camila Maria Camila Lucas,a a a o l o a o s o s l o s o a a a a s,20,15~22,Output: a a a o o o o o o o a a a a,208,192,16
Julia Camila Adriana Vanessa Luciana Marcia Sandra Marcelo Maria Mariana Vanessa Pedro Antonia Lucas Lucas Antonio Juliana Antonio Vanessa,a a a a a a a o a a a o a s s o a o a,19,15~22,Output: a a a a a a a o a a a o a o a,209,192,17
Luciana Bruno Amanda Luciana Camila Jessica Leticia Carlos Adriana Adriana Carlos Antonio Patricia Leticia Jessica Francisca Gabriel,a o a a a a a s a a s o a a a a l,17,15~22,Output: a o a a a a a a a a o a a a a,209,192,17
Ana Aline Joao Marcos Pedro Camila Marcia Pedro Jose Patricia Juliana Eduardo Eduardo Gabriel Vanessa Joao Adriana Leticia Joao,a e o s o a a o e a a o o l a o a a o,19,15~22,Output: a e o s o a a a o e a a a a a a,212,194,18
Adriana Luiz Adriana Marcia Marcelo Francisco Vanessa Jose Gabriel Pedro Ana Marcia Luis Julia Lucas Luciana,a z a a o o a e l o a a s a s a,16,15~22,Output: a z a a o o a a e o o a a a a,205,188,17
Antonia Aline Marcia Sandra Maria Juliana Antonia Paulo Antonio Bruna Juliana Aline Ana Aline Francisco Lucas Marcia Bruno,a e a a a a a o o a a e a e o s a o,18,15~22,Output: a e a a a a a o o a a a a o,209,193,16
Marcos Francisco Gabriel Bruno Mariana Francisco Ana Camila Carlos Camila Joao Amanda Marcelo Marcelo Aline Amanda Marcia Juliana,s o l o a o a a s a o a o o e a a a,18,15~22,Output: s o l o a a a a l a a a a a a a,210,192,18
Bruna Fernanda Luiz Eduardo Lucas Rafael Sandra Bruna Francisca Carlos Patricia Jessica Antonio Marcos Luiz Marcia Fernanda Julia Bruno Julia Marcia,a a z o s l a a a s a a o s z a a a o a a,21,15~22,Output: a a z o o l a a a a a a a a a a a,214,195,19
Julia Carlos Luis Sandra Daniel Julia Jessica Francisco Gabriel Adriana Antonio Adriana Aline Joao Daniel Eduardo Gabriel Luis Amanda Bruna Lucas,a s s a l a a o l a o a e o l o l s a a s,21,15~22,Output: a s s a a a a a o a a a a o a a a,210,191,19
Gabriel Francisca Marcelo Carlos Gabriel Adriana Francisco Pedro Bruno Joao Paulo Marcelo Amanda Marcia Pedro Mariana Julia Francisca Fernanda Ana,l a o s l a o o o o o o a a o a a a a a,20,15~22,Output: L a o S S A O O U O O A A A A,211,194,17
Luis Lucas Leticia Fernanda Julia Eduardo Rafael Francisco Daniel Jose Julia Camila Jessica Antonia Jose Marcos Bruno Daniel Eduardo Maria,s s a a a o l o l e a a a a e s o l o a,20,15~22,Output: s s a a a o o o l o l a a a a a,208,190,18
Antonio Adriana Lucas Luciana Rafael Ana Fernanda Ana Jessica Maria Francisca Joao Lucas Carlos Vanessa Vanessa Francisca Sandra Fernanda,o a s a l a a a a a a o s s a a a a a,19,15~22,Output: o a s a a a a a a a a a a a a a,209,191,18
Camila Fernanda Luiz Luciana Eduardo Vanessa Adriana Leticia Camila Juliana Bruno Patricia Leticia Gabriel Juliana Marcelo Amanda,a a z a o a a a a a o a a l a o a,17,15~22,Output: a a z a a o a a a a a a o a,211,195,16
Adriana Daniel Marcos Daniel Marcos Marcelo Marcia Eduardo Bruna Gabriel Leticia Camila Eduardo Francisco Antonio Luiz Gabriel Rafael,a l s l s o a o a l a a o o o z l l,18,15~22,Output: a l s l s o a o a a a l o,206,191,15
Bruna Bruno Mariana Sandra Bruna Pedro Julia Paulo Adriana Gabriel Juliana Camila Antonio Juliana Marcelo Leticia Leticia Daniel Amanda,a o a a a o a o a l a a o a o a a l a,19,15~22,Output: a o a a a o o a a a a o a a a a a,215,196,19
Luis Camila Mariana Amanda Eduardo Luis Jose Francisco Francisco Mariana Francisca Marcos Pedro Daniel Francisco Jessica Patricia Jose Antonia Marcia,s a a a o s e o o a a s o l o a a e a a,20,15~22,Output: s a a a a o e e o o a a a o d o a a a a,213,191,22
Luiz Eduardo Mariana Luis Maria Marcos Ana Pedro Patricia Joao Carlos Aline Mariana Jose Adriana Amanda Amanda Daniel,z o a s a s a o a o s e a e a a a l,18,15~22,Output: z o a s a a s a o a a a a a l,206,189,17
Bruna Mariana Francisco Mariana Mariana Pedro Luis Marcia Jose Gabriel Patricia Antonia Leticia Luciana Jessica Marcia Antonio Fernanda Jessica,a a o a a o s a e l a a a a a a o a a,19,15~22,Output: a a o a a a o s a a a a a a a a,213,195,18
Rafael Luiz Jessica Rafael Mariana Jose Bruno Jessica Carlos Patricia Amanda Mariana Bruno Ana Bruna Bruno Amanda,l z a l a e o a s a a a o a a o a,17,15~22,Output: l z a a l a e o s a a a a a,202,186,16
Lucas Luiz Marcelo Francisco Camila Jose Patricia Francisca Antonio Julia Bruna Marcos Jessica Lucas Antonio Camila Julia Luis Jose Bruno Lucas,s z o o a e a a o a a s a s o a a s e o s,21,15~22,Output: s z o o a e a a a a a a o a a a,210,192,18
Joao Ana Juliana Joao Mariana Jose Luis Aline Pedro Bruno Maria Camila Adriana Joao Jose Pedro Aline Aline,o a a o a e s e o o a a a o e o e e,18,15~22,Output: o a a o o a e s o a a a a a,209,193,16
Leticia Patricia Jose Bruna Bruno Marcia Ana Pedro Carlos Rafael Adriana Juliana Camila Amanda Julia Vanessa Rafael,a a e a o a a o s l a a a a a a l,17,15~22,Output: a a e o a a a a o a a a a a,205,189,16
Daniel Bruna Bruno Sandra Francisco Maria Patricia Luiz Rafael Maria Francisca Daniel Pedro Pedro Jose Camila Maria Leticia,l a o a o a a z l a a l o o e a a a,18,15~22,Output: l a o a a a a a a a o e o a a,206,189,17
Marcelo Antonia Luiz Rafael Mariana Marcelo Patricia Rafael Carlos Bruna Patricia Bruna Leticia Marcelo Pedro Francisco Luiz,o a z l a o a l s a a a a o o o z,17,15~22,Output: o a z l o a a a a a a a o o,209,193,16
Francisca Luciana Marcos Patricia Antonia Pedro Francisco Luis Joao Luciana Amanda Jose Fernanda Francisco Carlos Bruna Vanessa Paulo Ana Joao Fernanda,a a s a a o o s o a a e a o s a a o a o a,21,15~22,Output: a a s a a a o o s a a a o a a a a o a,216,195,21
Leticia Luciana Antonia Bruno Sandra Fernanda Adriana Luiz Joao Joao Ana Eduardo Carlos Pedro Fernanda Juliana Francisco Maria Luiz Antonio,a a a o a a a z o o a o s o a a o a z o,20,15~22,Output: a a a o a a a a o o a o a o a o a,216,197,19
Julia Julia Carlos Leticia Lucas Antonia Camila Adriana Leticia Adriana Camila Pedro Sandra Aline Pedro Bruno Leticia,a a s a s a a a a a a o a e o o a,17,15~22,Output: a a s a s a a a a a a a o,209,194,15
Amanda Mariana Gabriel Mariana Rafael Sandra Jose Eduardo Amanda Mariana Bruno Marcia Ana Amanda Jessica Francisco Sandra,a a l a l a e o a a o a a a a o a,17,15~22,Output: a a l a a a a o a a a a a,201,186,15
Rafael Francisco Maria Adriana Daniel Leticia Adriana Adriana Jose Patricia Francisca Aline Luiz Bruno Luis Bruno Marcos Francisca,l o a a l a a a e a a e z o s o s a,18,15~22,Output: l o a a a a a a a e a a o o o s a,211,192,19
Patricia Marcelo Antonia Jessica Vanessa Francisco Carlos Bruno Pedro Jose Fernanda Carlos Bruna Juliana Vanessa Julia,a o a a a o s o o e a s a a a a,16,15~22,Output: a o a a a a o s o e a a a a,202,186,16
Antonio Jessica Marcos Jessica Luis Camila Marcos Joao Sandra Gabriel Maria Francisco Marcos Eduardo Vanessa Gabriel Luis Francisca Daniel Luciana,o a s a s a s o a l a o s o a l s a l a,20,15~22,Output: o a s s a a a o a a o a a a l a,207,189,18
Marcelo Aline Luiz Amanda Marcos Carlos Patricia Marcos Marcelo Luiz Marcos Fernanda Marcelo Joao Juliana Marcelo Antonia Fernanda Bruna,o e z a s s a s o z s a o o a o a a a,19,15~22,Output: o e z a a s s a o a o a a a a a,215,197,18
Daniel Marcia Adriana Julia Jose Marcos Francisca Francisca Antonia Luiz Francisco Antonia Jose Fernanda Lucas Adriana Luis Adriana Vanessa,l a a a e s a a a z o a e a s a s a a,19,15~22,Output: l a a a a e o a a a a a a a a,211,194,17
Marcos Luiz Fernanda Gabriel Antonia Julia Rafael Francisco Rafael Amanda Antonia Julia Lucas Pedro Luiz,s z a l a a l o l a a a s o z,15,15~22,Output: s z a a a a l o a a a s s,200,185,15
Adriana Aline Julia Marcelo Antonio Julia Luciana Pedro Amanda Camila Amanda Fernanda Marcos Paulo Juliana,a e a o o a a o a a a a s o a,15,15~22,Output: a e a o o a a a a a a a o a,203,187,16
Marcos Antonio Marcelo Jose Bruna Paulo Patricia Adriana Francisca Juliana Bruna Marcia Fernanda Carlos Bruno Leticia,s o o e a o a a a a a a a s o a,16,15~22,Output: s o o e a a a a a a a a a,206,191,15
Gabriel Jose Amanda Francisco Luis Maria Francisca Adriana Adriana Antonio Luis Maria Marcos Maria Adriana Juliana,l e a o s a a a a o s a s a a a,16,15~22,Output: L e a o o a a a a a a a a N,202,186,16
Pedro Julia Daniel Adriana Francisco Maria Antonia Maria Mariana Rafael Patricia Carlos Antonio Marcos Luis Mariana Jose Luiz Luiz,o a l a o a a a a l a s o s s a e z z,19,15~22,Output: o a l a a o a a a a a o s o s z,208,190,18
Antonia Luciana Amanda Camila Leticia Amanda Bruna Bruna Luis Rafael Camila Gabriel Francisco Amanda Luciana Carlos Marcos Leticia Jose Gabriel,a a a a a a a a s l a l o a a s s a e l,20,15~22,Output: a a a a a a a s a a a l o a a a o a,216,196,20
Amanda Patricia Joao Bruna Marcos Rafael Antonia Fernanda Luciana Luciana Mariana Sandra Lucas Leticia Julia Marcia Eduardo,a a o a s l a a a a a a s a a a o,17,15~22,Output: a a o a a s a a a a a a a o a,209,192,17
Luis Leticia Bruno Luciana Daniel Carlos Marcia Jessica Bruna Camila Luciana Daniel Luis Camila Carlos Francisca,s a o a l s a a a a a l s a s a,16,15~22,Output: s a o a a l s a a a l a a a a,207,190,17
Rafael Daniel Daniel Luciana Julia Mariana Rafael Bruna Marcelo Francisca Juliana Antonia Luiz Pedro Joao Antonia Marcos Eduardo,l l l a a a l a o a a a z o o a s o,18,15~22,Output: l l l a a a a a a o o a o a o,210,193,17
Juliana Lucas Jessica Juliana Sandra Antonio Antonia Fernanda Luciana Marcia Marcia Antonio Juliana Gabriel Leticia Vanessa,a s a a a o a a a a a o a l a a,16,15~22,Output: a s a a a a a a a a a a,205,191,14
Vanessa Marcia Eduardo Luciana Francisco Antonia Maria Marcelo Bruno Joao Leticia Maria Julia Eduardo Luiz Patricia Francisca Luciana,a a o a o a a o o o a a a o z a a a,18,15~22,Output: a a o a a o a a a o a a a a a,210,193,17
Bruno Amanda Julia Jessica Joao Francisco Daniel Lucas Julia Sandra Daniel Lucas Marcelo Sandra Leticia Rafael,o a a a o o l s a a l s o a a l,16,15~22,Output: o a a a a o o l s a l o o a a,202,185,17
Juliana Carlos Eduardo Juliana Marcos Francisca Vanessa Leticia Julia Lucas Jessica Julia Sandra Leticia Jose Sandra,a s o a s a a a a s a a a a e a,16,15~22,Output: a s o o a a a a a a a a a,203,188,15
Adriana Vanessa Luciana Francisca Marcos Aline Rafael Luciana Jose Aline Julia Camila Camila Luiz Vanessa Juliana Gabriel,a a a a s e l a e e a a a z a a l,17,15~22,Output: a a a a a e a a e a a a a a a l,210,192,18
Leticia Ana Paulo Eduardo Luis Amanda Patricia Marcelo Lucas Mariana Vanessa Antonio Paulo Eduardo Daniel Lucas,a a o o s a a o s a a o o o l s,16,15~22,Output: a a o o o a a a o a o o o,200,185,15
Aline Daniel Fernanda Ana Jose Eduardo Luis Carlos Marcia Ana Francisco Antonio Carlos Juliana Leticia Fernanda Leticia Luis Francisca Gabriel Vanessa,e l a a e o s s a a o o s a a a a s a l a,21,15~22,Output: e l a a e o u s a o a a a a a a,214,196,18
Joao Fernanda Aline Leticia Maria Aline Francisca Antonia Luiz Fernanda Julia Amanda Pedro Marcelo Adriana Amanda,o a e a a e a a z a a a o o a a,16,15~22,Output: o a a a a a a a a a o a a a,209,193,16
Eduardo Luiz Jessica Vanessa Fernanda Bruno,o z a a a o,6,1~8,Output: o z a a a o,181,173,8
Pedro Eduardo Joao Bruno Juliana,o o o o a,5,1~8,Output: o o a o a,179,172,7
Luciana Marcos Adriana Marcelo Rafael Julia Eduardo,a s a o l a o,7,1~8,Output: a s a o o a o,184,175,9
Marcelo Julia Vanessa Luiz,o a a z,4,1~8,Output: o a a z,177,171,6
Paulo Fernanda,o a,2,1~8,Output: o a,172,168,4
Leticia Patricia Carlos Fernanda Eduardo Luiz,a a s a o z,6,1~8,Output: a a s a a z,183,175,8
Amanda Antonia Daniel Luis Camila Leticia Sandra,a a l s a a a,7,1~8,Output: a a l s a a a,185,176,9
Julia Rafael,a l,2,1~8,Output: a l,171,167,4
Sandra Antonia Carlos Leticia,a a s a,4,1~8,Output: a a s a a,179,172,7
Ana Adriana Luiz Francisca Leticia,a a z a a,5,1~8,Output: a a z a a,182,175,7
Luciana Jessica Camila,a a a,3,1~8,Output: a a a,175,170,5
Bruna Carlos,a s,2,1~8,Output: a s,172,168,4
Pedro Aline,o e,2,1~8,Output: o e,172,168,4
Francisca Adriana Carlos Amanda,a a s a,4,1~8,Output: a a s a,177,171,6
Antonia Marcelo Pedro Maria,a o o a,4,1~8,Output: a o o a,177,171,6
Sandra Julia Marcia Adriana Amanda,a a a a a,5,1~8,Output: a a a a a,179,172,7
Antonia Marcos Eduardo,a s o,3,1~8,Output: a s o,174,169,5
Luis Marcia Pedro Marcelo Fernanda Maria,s a o o a a,6,1~8,Output: s a o o a a,182,174,8
Fernanda Adriana,a a,2,1~8,Output: a a,173,169,4
Rafael Luiz Jessica Marcelo Vanessa Antonia,l z a o a a,6,1~8,Output: l z a o o a,182,174,8
Julia Adriana Julia Marcelo Ana,a a a o a,5,1~8,Output: a a a o a,179,172,7
Jessica Pedro Marcelo Leticia,a o o a,4,1~8,Output: a o o a,178,172,6
Marcos Mariana,s a,2,1~8,Output: s a,172,168,4
Patricia Antonia Francisco Camila Mariana Aline Luciana,a a o a a e a,7,1~8,Output: a a o a a a a,186,177,9
Bruno Sandra Joao,o a o,3,1~8,Output: o a o,174,169,5
Gabriel Paulo Gabriel Julia Patricia Sandra,l o l a a a,6,1~8,Output: L O L A A A,179,171,8
Marcos Julia Fernanda Patricia Daniel Bruna,s a a a l a,6,1~8,Output: s a a a l a,181,173,8
Bruna Marcelo Marcia Luiz Daniel Ana,a o a z l a,6,1~8,Output: a o a z l l a,184,175,9
Luiz Daniel Aline Gabriel Vanessa Aline,z l e l a e,6,1~8,Output: z l e l a a e,183,174,9
Camila Lucas Antonio,a s o,3,1~8,Output: a s o,174,169,5
Luis Pedro Gabriel,s o l,3,1~8,Output: s o l,173,168,5
Lucas Gabriel Ana Juliana Bruna,s l a a a,5,1~8,Output: s l a a a,179,172,7
Joao Carlos,o s,2,1~8,Output: o s,172,168,4
Jose Jessica Luciana,e a a,3,1~8,Output: e a a,174,169,5
Bruno Rafael Maria Luis,o l a s,4,1~8,Output: o l a s,175,169,6
Francisco Gabriel Paulo Julia Julia,o l o a a,5,1~8,Output: o l o a a a,178,170,8
Juliana Amanda Francisca,a a a,3,1~8,Output: a a a,175,170,5
Francisco Mariana Antonio Rafael Antonia Paulo Sandra,o a o l a o a,7,1~8,Output: o a o l o a o a,184,174,10
Paulo Julia Maria Luis Maria Julia Juliana,o a a s a a a,7,1~8,Output: o a a s a a a,182,173,9
Sandra Luciana Jose Daniel Ana Julia,a a e l a a,6,1~8,Output: a a e l a a,180,172,8
Ana Pedro Carlos Gabriel,a o s l,4,1~8,Output: a o s l,175,169,6
Luiz Adriana Camila Camila Francisco,z a a a o,5,1~8,Output: z a a a o,181,174,7
Lucas Patricia Ana Juliana Camila Camila,s a a a a a,6,1~8,Output: s a a a a a,182,174,8
Fernanda Joao Daniel Lucas Jessica,a o l s a,5,1~8,Output: a o l s a,179,172,7
Maria Fernanda Camila Marcos Francisca,a a a s a,5,1~8,Output: a a a s a,180,173,7
Patricia Vanessa Eduardo Bruna Amanda Carlos,a a o a a s,6,1~8,Output: a a o a a s,180,172,8
Luiz Marcia Maria Sandra Ana Mariana,z a a a a a,6,1~8,Output: z a a a a a,182,174,8
Daniel Camila,l a,2,1~8,Output: l a,172,168,4
Rafael Jose Vanessa,l e a,3,1~8,Output: l e a,173,168,5
Paulo Jose Ana Leticia,o e a a,4,1~8,Output: o e a a,177,171,6
Camila Eduardo,a o,2,1~8,Output: a o,172,168,4
Antonio Daniel Pedro Amanda Eduardo Jessica,o l o a o a,6,1~8,Output: o l o a o a,179,171,8
Bruno Antonio Patricia,o o a,3,1~8,Output: o o a,173,168,5
Antonia Daniel Francisca Amanda Marcos Patricia Camila,a l a a s a a,7,1~8,Output: a l a a a a a,184,175,9
Bruna Daniel Vanessa Eduardo,a l a o,4,1~8,Output: a l a o,176,170,6
Antonio Mariana Luiz Ana Joao Marcelo,o a z a o o,6,1~8,Output: o a z a o o,183,175,8
Jessica Juliana Patricia Fernanda,a a a a,4,1~8,Output: a a a a,177,171,6
Pedro Marcelo Patricia Pedro,o o a o,4,1~8,Output: o o a o,176,170,6
Maria Juliana Jose Patricia Julia Luciana,a a e a a a,6,1~8,Output: a a e a a a,181,173,8
Luis Marcia Luis Francisco Luiz,s a s o z,5,1~8,Output: s a s o z,179,172,7
Joao Jessica Patricia Marcos Marcos Patricia Julia,o a a s s a a,7,1~8,Output: o a a s s a a,182,173,9
Carlos Mariana Francisco Marcia Lucas,s a o a s,5,1~8,Output: s a o a s,179,172,7
Lucas Lucas Eduardo,s s o,3,1~8,Output: s s o,173,168,5
Mariana Mariana Paulo Francisca,a a o a,4,1~8,Output: a a o a,178,172,6
Bruno Fernanda Juliana Fernanda Marcia Camila,o a a a a a,6,1~8,Output: o a a a a a,184,176,8
Francisco Adriana,o a,2,1~8,Output: o a,172,168,4
Julia Luciana Adriana,a a a,3,1~8,Output: a a a,175,170,5
Aline Maria Adriana,e a a,3,1~8,Output: e a a,175,170,5
Marcelo Adriana Daniel Maria Antonio,o a l a o,5,1~8,Output: o a l a a o,180,172,8
Maria Camila Maria Ana,a a a a,4,1~8,Output: a a a a,176,170,6
Aline Fernanda,e a,2,1~8,Output: e a,173,169,4
Fernanda Fernanda Luiz Carlos Amanda,a a z s a,5,1~8,Output: a a z s o a,181,173,8
Luiz Joao Pedro Gabriel Aline Marcia,z o o l e a,6,1~8,Output: z o o l e a,183,175,8
Patricia Luiz Patricia,a z a,3,1~8,Output: a z a,174,169,5
Mariana Luiz Luis Paulo,a z s o,4,1~8,Output: a z s o,177,171,6
Lucas Amanda Paulo Gabriel Patricia Bruna Camila Eduardo Julia Rafael Adriana Jessica Juliana Ana Carlos Julia Amanda Luiz Carlos Maria Leticia Jessica Amanda,s a o l a a a o a l a a a a s a a z s a a a a,23,22~30,Output: s a o o l a a a a a a a a a a a a,214,195,19
Francisco Jessica Daniel Amanda Francisca Carlos Daniel Paulo Vanessa Lucas Francisca Vanessa Amanda Patricia Antonia Bruna Leticia Carlos Luis Antonia Aline Rafael Bruna Carlos,o a l a a s l o a s a a a a a a a s s a e l a s,24,22~30,Output: o a l a a a s o l o a a a a a a a l a a a,221,198,23
Patricia Jose Aline Pedro Francisca Maria Julia Francisca Jessica Francisca Rafael Antonia Adriana Sandra Carlos Leticia Carlos Sandra Antonia Luciana Bruna Amanda Bruna,a e e o a a a a a a l a a a s a s a a a a a a,23,22~30,Output: a e e o a a a a a a a a a a a a a a,220,200,20
Lucas Bruna Daniel Antonia Bruno Gabriel Aline Adriana Antonio Luiz Ana Francisca Gabriel Bruno Aline Sandra Fernanda Francisca Fernanda Marcia Jose Aline Adriana Rafael Julia Aline,s a l a o l e a o z a a l o e a a a a a e e a l a e,26,22~30,Output: s a l a a o l o a a a a a a a a a a a a a a a a,231,205,26
Bruna Bruno Marcia Camila Paulo Marcia Eduardo Rafael Mariana Julia Antonia Lucas Aline Jose Francisca Lucas Maria Luis Rafael Marcelo Francisca Antonio,a o a a o a o l a a a s e e a s a s l o a o,22,22~30,Output: a o a a a o o o a a a a a o a o a o a,218,197,21
Julia Mariana Paulo Maria Maria Marcos Sandra Joao Gabriel Marcos Amanda Luciana Luiz Marcelo Aline Carlos Juliana Vanessa Gabriel Francisco Vanessa Ana Rafael Patricia Rafael Francisco Fernanda Julia Jessica,a a o a a s a o l s a a z o e s a a l o a a l a l o a a a,29,22~30,Output: a a o a a a a a o a a a a a a a a a a a a a a a a a,230,202,28
Luiz Sandra Luciana Lucas Joao Fernanda Amanda Antonio Ana Francisco Juliana Amanda Rafael Gabriel Ana Julia Leticia Bruna Antonio Camila Marcelo Daniel,z a a s o a a o a o a a l l a a a a o a o l,22,22~30,Output: z a a s o a a a o a a a a a a a o a a,218,197,21
Vanessa Francisca Bruna Sandra Eduardo Eduardo Mariana Marcia Vanessa Ana Julia Ana Marcelo Daniel Julia Julia Amanda Bruna Ana Maria Bruna Juliana Francisco Eduardo Rafael,a a a a o o a a a a a a o l a a a a a a a a o o l,25,22~30,Output: a a a a a o o a a a a a a a a a o a a a a a,222,198,24
Ana Luis Francisco Maria Ana Paulo Antonia Fernanda Pedro Luis Paulo Marcelo Rafael Julia Jose Camila Luiz Amanda Antonio Juliana Lucas Juliana Jose Eduardo Daniel Leticia,a s o a a o a a o s o o l a e a z a o a s a e o l a,26,22~30,Output: a s o a a a o a a a o l o a a a a a a o a a a a a,227,200,27
