word,freq
incluso,105304
doctor,104991
difícil,104985
aunque,104655
primer,104138
coche,103946
hago,103901
clase,103827
cuatro,103805
mas,103445
dices,103279
pequeño,103016
llama,102848
toma,102733
hiciste,102722
allá,102642
última,102333
arriba,102254
tierra,102197
guerra,101887
pensar,101695
pueda,101487
igual,101272
loco,100021
sangre,99844
mujeres,99536
vuelta,99529
trabajar,99262
juego,99041
deberías,98960
cuerpo,98410
entrar,95899
cree,95859
podía,95527
debemos,95445
oportunidad,95375
teléfono,95015
necesitamos,94964
final,94883
listo,94769
fiesta,94739
quieren,94018
vete,93782
auto,93654
dar,92706
vivir,92629
posible,92449
hermana,92291
número,92183
meses,92062
exactamente,91598
culpa,91506
abajo,91298
escuela,90725
ido,90670
fuerte,90226
diciendo,90048
habla,90023
ello,89741
pregunta,89617
chicas,89467
unas,89043
pasando,88887
atrás,88877
malo,88555
capitán,88550
bebé,88307
segundo,88232
sabemos,87714
mayor,87707
comida,87661
morir,87614
conozco,87429
dame,87200
fácil,87099
comer,86671
vino,86406
lista,86033
haga,85884
necesitas,85706
hijos,85020
probablemente,84911
padres,84855
habitación,84704
creer,84624
pensando,84438
dime,84079
trata,83906
buscando,83655
tampoco,83595
amo,83156
joven,82919
podrías,82328
sola,82229
par,81901
única,81808
hacen,81807
seguir,81723
simplemente,80350
dicen,80310
medio,80278
puta,80176
saben,79988
hagas,79398
segura,79393
esperar,79115
lejos,79091
arma,78974
alto,78496
pequeña,78191
dólares,77319
seis,77064
seguridad,76807
maldita,76765
preocupes,76606
palabra,76589
esperando,76353
queda,76150
oficina,75697
matar,75652
iré,75521
cama,75441
además,75259
último,75205
oído,75123
dio,74745
recuerdo,74344
siendo,74265
acerca,74051
luz,73886
correcto,73881
demonios,73485
verte,73227
dormir,73064
sitio,73036
ayudar,72837
conseguir,72697
marido,72210
paz,72000
idiota,71856
plan,71640
dado,71249
cuanto,71197
peor,70692
murió,70466
pueblo,70465
vivo,70329
venido,70151
john,69978
basta,69973
paso,69865
deberíamos,69574
música,69241
diga,68941
minuto,68878
anoche,68870
llamar,68861
piensa,68552
país,68539
digas,68227
rey,67803
perdón,67516
mucha,67426
falta,67152
pienso,67140
diablos,67119
perdido,66882
niña,66672
señorita,66491
diez,66429
lleva,66407
hospital,66316
grandes,66186
maldito,66025
llamado,65650
hacemos,65535
llevar,65446
fuego,65442
aqui,65202
poner,64740
calle,64675
acaba,64600
prueba,64593
increíble,64527
real,64511
libro,64445
orden,64437
semanas,64300
especial,64240
café,63914
duro,63800
empezar,63463
afuera,63387
queremos,63319
perro,63070
cielo,62981
jack,62965
puesto,62949
viaje,62667
detrás,62621
cuarto,62590
querida,62549
haría,62547
preguntas,62505
piensas,62433
querido,62425
libre,62421
buscar,62319
diré,62193
suena,62170
jugar,62132
cambio,62106
película,61985
millones,61876
llamada,61791
resto,61752
vemos,61545
extraño,61249
mala,61177
presidente,61090
irme,60622
ropa,60542
perder,60378
vuelve,60172
agente,60171
palabras,60090
información,60090
raro,60086
hará,59965
entiendes,59914
éste,59792
trabajando,59674
tratando,59643
general,59593
trato,59469
usar,59267
perfecto,59208
derecho,59164
modo,59041
ayer,59013
conoces,58941
demás,58811
quieras,58704
podríamos,58548
noticias,58530
asesino,58507
encontrado,57581
control,57479
odio,57427
frente,57371
sexo,57281
decirle,57135
divertido,56908
armas,56785
recuerdas,56669
amiga,56665
grupo,56638
asunto,56622
acabo,56586
mensaje,56126
encima,56110
atención,56092
diferente,56028
cállate,55856
daño,55599
sucede,55572
cambiar,55360
siguiente,55300
sino,55136
the,54966
médico,54547
boca,54512
dejó,54435
error,54414
jamás,54158
largo,53833
pena,53618
voz,53574
futuro,53557
secreto,53504
baño,53455
mil,53364
decirte,53207
sam,53082
pensaba,53018
novia,52984
propia,52973
sueño,52956
haz,52344
fuerza,52316
deben,52297
supone,52250
ambos,51916
encontré,51507
vuelto,51505
dolor,51283
dile,51271
encanta,51240
edad,51163
darle,51120
pie,51066
negro,50987
ganar,50970
york,50964
aire,50788
lamento,50766
verlo,50765
asesinato,50759
vio,50756
adónde,50674
llegado,50534
disculpe,50520
cita,50399
sistema,50050
gusto,50039
pobre,50019
negocio,49896
mente,49842
campo,49614
mire,49575
situación,49426
tras,49345
hotel,49177
funciona,48956
foto,48915
abogado,48914
loca,48859
propio,48844
alrededor,48767
próxima,48701
terminado,48673
hablas,48652
pagar,48636
mató,48583
llamo,48473
personal,48419
sientes,48410
ocurre,48364
ésta,48338
recuerda,48335
mitad,48317
quiera,48299
pelo,48293
viste,47962
oficial,47960
llegó,47852
compañía,47842
relación,47824
conoce,47688
pase,47622
montón,47610
mejores,47509
creí,47494
cena,47357
sentir,47337
través,47295
accidente,47117
caja,46635
tranquilo,46587
bonito,46554
asi,46535
pudo,46533
vive,46462
vista,46461
estúpido,46441
línea,46341
caballeros,46158
haremos,46119
dan,46063
quédate,46054
tienda,45913
comprar,45899
entendido,45877
centro,45864
salvo,45755
mes,45648
joe,45615
sol,45567
tonto,45479
hambre,45455
michael,45411
mesa,45409
respuesta,45345
completamente,45342
david,45220
carta,45152
totalmente,45016
imposible,44898
pruebas,44861
novio,44832
normal,44793
gustan,44761
frank,44615
pude,44614
charlie,44589
traje,44234
dirección,44229
siete,44169
dijeron,44151
placer,44038
barco,43597
blanco,43530
tom,43467
profesor,43370
servicio,43358
muchacho,43295
reunión,43217
dejado,43162
ley,43043
quisiera,42974
george,42765
programa,42763
carrera,42759
cumpleaños,42596
muchachos,42571
culo,42470
canción,42468
hermosa,42438
universidad,42412
boda,42403
decirme,42378
cualquiera,42369
hacía,42256
sala,42122
llevo,42084
decisión,42011
espere,42008
don,41978
necesario,41752
sal,41725
entra,41706
prisa,41706
carajo,41656
embargo,41642
interesante,41640
escuchar,41472
abuela,41377
hicieron,41321
detective,41299
horrible,41259
suelo,41247
fotos,41245
cárcel,41152
acá,41151
mike,41066
siéntate,40993
decía,40982
intentando,40706
vámonos,40700
maldición,40681
silencio,40675
muerta,40660
capaz,40541
salió,40377
club,40360
terminar,40338
temo,40288
broma,40281
gobierno,40236
prometo,40224
cámara,40045
media,39998
terrible,39993
llamó,39922
regalo,39903
amable,39841
dulce,39818
muertos,39809
querías,39797
ataque,39782
das,39589
navidad,39589
negocios,39553
pudiera,39528
ocho,39524
avión,39484
investigación,39465
acabó,39429
juro,39329
mantener,39327
ejército,39290
papel,39262
partes,39255
ten,39243
gracioso,39166
diría,39163
principio,39155
delante,38898
teniente,38628
deseo,38627
vayas,38593
nave,38459
sale,38407
basura,38280
vine,38168
contacto,38028
esposo,38011
tren,37976
encontramos,37952
dale,37876
verdadero,37844
alma,37824
hazlo,37804
disculpa,37801
junto,37794
anda,37779
matrimonio,37656
saberlo,37540
locura,37525
oro,37500
permiso,37465
director,37428
peligro,37415
libertad,37412
alegro,37403
baja,37298
derecha,37262
encuentra,37241
pies,37222
segunda,37192
maravilloso,37115
espacio,37114
rato,37101
abuelo,37062
esperaba,37031
mirando,37030
salud,37016
sorpresa,37012
ninguno,37007
miren,37000
triste,36968
aun,36908
pensado,36904
maestro,36887
según,36882
infierno,36835
podrían,36824
tipos,36703
tía,36607
crimen,36579
conocido,36564
consejo,36446
iglesia,36300
intento,36197
mayoría,36167
doy,36153
peter,36107
hicimos,36096
escena,36065
piso,36054
señal,36012
honor,35990
llamas,35985
abre,35915
cerebro,35820
veras,35817
viendo,35814
pone,35812
pregunto,35802
cocina,35715
vestido,35669
inteligente,35632
vieja,35616
caballo,35585
vienen,35533
vidas,35477
bar,35461
corte,35435
sucedió,35426
adentro,35406
drogas,35396
enseguida,35331
busca,35289
agradable,35267
carne,35253
parecía,35223
departamento,35214
lindo,35195
mar,35149
duda,35145
edificio,35098
conocer,35058
cargo,35050
víctima,35048
luna,34997
energía,34997
frío,34936
hablo,34863
baile,34771
trabaja,34740
misión,34729
listos,34703
ayudarte,34637
izquierda,34629
paul,34600
beber,34576
deje,34568
finalmente,34516
simple,34511
daré,34496
sabías,34453
puedas,34446
puso,34438
creía,34319
regresar,34314
llega,34263
entender,34253
mirar,34206
sacar,34188
cambiado,34095
trae,34072
hermoso,34066
opinión,34009
verás,34007
linda,34005
apenas,33969
segundos,33905
cerveza,33902
harás,33809
creen,33728
oír,33646
cuántos,33572
hablado,33561
hablamos,33532
reina,33477
temprano,33465
tema,33446
prisión,33396
porqué,33393
vuelva,33350
público,33347
ocurrió,33319
veré,33305
salvar,33301
partido,33291
bonita,33286
joder,33283
causa,33279
caliente,33249
sargento,33179
cenar,33146
compañero,32947
llevó,32910
banco,32880
existe,32874
ben,32858
zona,32787
destino,32785
base,32757
solía,32665
cliente,32665
irse,32623
perra,32592
james,32572
encuentro,32557
encontró,32539
pelea,32497
san,32450
norte,32319
quise,32250
coronel,32219
apuesto,32213
peligroso,32210
viva,32204
max,32182
vienes,32150
necesitan,32121
excepto,32005
juicio,31961
podamos,31904
llave,31899
equivocado,31851
posición,31835
trasero,31796
irnos,31731
espalda,31618
excelente,31576
éxito,31546
modos,31533
ventana,31521
veamos,31449
especie,31439
diferencia,31428
formas,31423
pedir,31418
últimos,31416
escúchame,31386
ejemplo,31354
ése,31352
radio,31316
lee,31272
calma,31202
hogar,31190
volveré,31148
fondo,31017
humano,30936
henry,30924
iremos,30871
unidos,30863
jesús,30720
planeta,30672
verme,30657
respecto,30525
regreso,30519
debido,30518
leer,30383
parar,30341
lleno,30333
dejé,30321
respeto,30274
debajo,30209
harry,30134
escribir,30111
estación,30100
pidió,30100
alta,30046
pista,30000
estrella,29938
enfermo,29931
duele,29808
sueños,29807
veremos,29783
miles,29772
darme,29767
órdenes,29746
ocupado,29600
sigues,29572
corre,29570
podido,29555
dejes,29536
nivel,29519
experiencia,29510
darte,29480
salida,29479
decirlo,29456
confiar,29427
hacerte,29424
necesitaba,29377
hermanos,29333
zapatos,29332
color,29320
vistazo,29316
nena,29309
tratar,29257
parecer,29249
juez,29177
próximo,29134
paciente,29118
bolsa,29042
arte,29011
mary,28973
jugando,28967
llevas,28896
alegra,28887
bailar,28886
diablo,28865
sepa,28810
sur,28775
banda,28768
aprender,28760
precio,28723
completo,28715
santo,28659
culpable,28654
ganas,28649
you,28617
verla,28616
volvió,28609
libros,28603
ojo,28589
cielos,28554
matado,28480
azul,28477
diferentes,28472
irte,28442
comandante,28382
acción,28381
reglas,28301
obra,28275
esperanza,28234
cuestión,28230
molesta,28230
bill,28210
informe,28207
jimmy,28145
río,28133
bienvenido,28108
abrir,28090
tocar,28076
bob,28053
contar,28052
sigo,28033
interior,27979
apartamento,27936
vea,27885
preocupa,27847
tomó,27846
principal,27776
empieza,27717
londres,27684
empezó,27667
vayan,27643
jim,27640
llaman,27639
ojalá,27609
perdona,27596
vuelvo,27583
golpe,27552
quedarme,27529
llamaré,27497
acabado,27494
estilo,27487
nueve,27477
definitivamente,27474
quedar,27451
cartas,27437
bomba,27431
guardia,27405
pistola,27403
probar,27381
majestad,27352
traer,27310
marcha,27262
pareces,27231
común,27165
aquel,27160
hacerle,27153
vuelo,27150
nota,27132
danny,27097
humanos,27056
valor,27034
objetivo,26881
repente,26871
debía,26858
rojo,26834
bromeando,26828
irá,26819
entrada,26809
doble,26787
dejaré,26734
evitar,26731
máquina,26692
cuello,26607
conocí,26576
tiempos,26575
tome,26557
nick,26552
animales,26546
alex,26535
acaso,26523
pareja,26503
verano,26486
escuché,26474
ama,26468
mentira,26429
tarjeta,26408
hagan,26381
perdí,26358
correr,26352
steve,26340
traído,26331
llegue,26329
preparado,26318
haberlo,26304
tony,26298
usa,26278
intentar,26247
ayudarme,26237
flores,26230
dando,26212
vos,26194
opción,26177
isla,26148
cierra,26144
piel,26126
enemigo,26121
dejo,26109
exacto,26087
imbécil,26010
jóvenes,26000
pedido,25956
larga,25955
entiende,25917
justicia,25899
nuevos,25896
obviamente,25797
despierta,25791
pido,25720
calor,25680
luces,25666
refiero,25660
batalla,25619
déjalo,25614
intenta,25538
sarah,25528
fantástico,25493
brazo,25423
absolutamente,25418
llena,25341
hacerme,25312
salga,25286
recordar,25282
escapar,25248
bosque,25245
gay,25217
señores,25187
quedan,25181
piernas,25117
visita,25113
parís,25111
usando,25109
ganado,25106
movimiento,25097
blanca,25080
rico,25019
inocente,24983
pesar,24982
absoluto,24982
vacaciones,24975
mismos,24932
tomado,24901
planes,24830
cine,24776
toca,24753
brillante,24750
confianza,24733
nombres,24706
especialmente,24660
fbi,24627
embarazada,24625
esperen,24616
pantalones,24609
defensa,24602
terminó,24592
salido,24556
estupendo,24491
jane,24469
presión,24457
inmediatamente,24410
testigo,24402
deberían,24391
olvidado,24378
soldados,24372
resulta,24353
tommy,24300
depende,24282
motivo,24276
inglés,24267
estudio,24243
acabar,24230
sentimientos,24182
tomando,24154
dieron,24125
parecen,24063
llaves,24052
perros,24037
propósito,24020
noticia,24010
partir,23967
metros,23962
santa,23959
quedarse,23947
clientes,23929
podrá,23914
cuántas,23906
ridículo,23895
damas,23894
tranquila,23875
operación,23863
come,23861
empresa,23858
ayúdame,23854
laboratorio,23848
elección,23826
menudo,23817
beso,23794
copa,23750
conversación,23746
brazos,23717
espíritu,23706
dejas,23660
cansado,23628
interesa,23602
refieres,23567
casado,23560
enorme,23535
asuntos,23521
muestra,23509
trampa,23494
ray,23492
billy,23444
memoria,23432
johnny,23426
contrario,23421
soldado,23421
subir,23413
turno,23409
encantaría,23397
preocupado,23389
restaurante,23371
saliendo,23368
escrito,23334
cálmate,23322
bienvenida,23320
caer,23298
llevaré,23274
leche,23267
estrellas,23265
prefiero,23230
red,23197
viejos,23172
solamente,23166
oiga,23159
cuentas,23115
taxi,23114
anillo,23113
richard,23102
preguntar,23053
victoria,23042
quiénes,23032
héroe,23032
pequeños,23029
decidido,23006
películas,22995
responsable,22954
trago,22952
volverá,22878
árbol,22850
ibas,22845
dientes,22805
encantado,22800
camión,22794
vender,22769
llame,22752
detente,22743
luchar,22738
cabo,22732
ruido,22718
lucha,22712
muere,22695
reloj,22691
gato,22686
averiguar,22670
volar,22653
vayamos,22640
tanta,22574
vendrá,22548
corriendo,22534
yendo,22518
colegio,22498
sonido,22444
caballero,22412
pasada,22393
código,22378
hagamos,22349
imagen,22339
riesgo,22336
llegamos,22327
alguno,22317
pan,22311
millón,22303
malas,22295
dama,22292
hielo,22276
coño,22270
cayó,22244
prensa,22244
querer,22219
vengan,22202
eddie,22197
caminar,22142
televisión,22129
pasará,22111
momentos,22109
coger,22105
posibilidad,22104
mark,22087
asiento,22080
herido,22044
maría,22039
seguramente,22019
proyecto,22007
pared,21999
sentí,21974
sospechoso,21933
naturaleza,21922
ésa,21914
silla,21910
perdió,21883
robert,21882
policías,21865
arreglar,21854
sentado,21849
papi,21806
ideas,21803
obtener,21789
felices,21789
señoría,21787
cantidad,21766
bebe,21749
mírame,21736
chris,21736
papa,21732
llorar,21694
quedó,21686
familiar,21678
desastre,21670
locos,21665
escuche,21649
quedarte,21600
política,21599
pedí,21552
will,21495
enfermedad,21473
encontraron,21470
colega,21456
príncipe,21442
verde,21441
bajar,21421
nervioso,21417
vengo,21415
inspector,21393
sirve,21373
puertas,21366
fuerzas,21362
playa,21337
cantar,21325
déjeme,21323
velocidad,21309
total,21272
cabello,21256
suficientemente,21229
huellas,21222
haberte,21198
debí,21196
unidad,21181
estan,21171
cuchillo,21138
oigan,21109
gana,21078
tonterías,21068
emergencia,21060
perfecta,21035
hable,21026
gustaba,21015
lugares,21005
ryan,20997
show,20965
robo,20955
permite,20946
parque,20907
roto,20900
serie,20857
puse,20843
nuevas,20833
evidencia,20831
conocerte,20819
estúpida,20818
preocupe,20779
perdone,20775
botella,20774
viento,20773
mando,20743
extraña,20742
historias,20732
aquella,20688
solos,20664
apoyo,20643
bala,20634
verdadera,20627
tiro,20610
época,20604
puente,20603
olvídalo,20576
distancia,20553
desea,20441
dejarlo,20439
pelear,20435
pierna,20434
echar,20410
descanso,20410
américa,20401
área,20386
orgulloso,20378
datos,20352
espectáculo,20331
sube,20325
dejaste,20322
acabas,20315
verá,20295
magia,20292
nacional,20291
universo,20289
llevaba,20253
necesitar,20251
nariz,20247
aquellos,20238
clases,20203
jake,20197
casas,20193
vergüenza,20189
monstruo,20156
princesa,20154
autobús,20079
cuidar,20066
huevos,20054
pocos,20047
podrás,20047
enferma,20044
paseo,20024
detalles,20017
llamadas,19977
belleza,19964
francia,19957
abierto,19934
viviendo,19922
envió,19919
puntos,19907
ministro,19906
conducir,19903
aceptar,19883
borracho,19877
animal,19868
caballos,19849
trajo,19847
contrato,19843
viernes,19829
bobby,19818
martin,19801
amy,19792
bienvenidos,19776
hechos,19742
sociedad,19735
quede,19709
inglaterra,19670
carga,19641
diste,19621
puto,19606
lleve,19572
presente,19563
conocía,19553
uso,19551
dedos,19533
oferta,19526
sentía,19508
proteger,19493
daniel,19492
date,19473
hiciera,19472
hablé,19472
recibir,19460
agradezco,19454
robar,19448
enamorado,19418
sepas,19411
oeste,19385
herida,19379
despacio,19378
ayude,19348
supe,19311
directamente,19298
inmediato,19291
profesional,19290
oscuro,19262
mercado,19238
cerdo,19233
tardes,19219
líder,19206
grave,19202
llegué,19194
jurado,19187
casos,19157
acuerdas,19130
ahi,19103
desaparecido,19097
debió,19085
últimamente,19064
piedra,19060
habló,19032
charles,19029
paga,19027
secretos,19018
digamos,19007
intención,18986
humor,18982
dura,18977
dará,18969
seguros,18944
leo,18940
adam,18930
and,18928
ángeles,18922
querría,18897
cerrar,18896
conseguido,18891
peso,18884
víctimas,18882
asesinado,18877
humana,18861
directo,18825
central,18819
termina,18800
compañeros,18800
escuchado,18797
contento,18786
llevan,18778
podré,18777
oscuridad,18776
actuar,18776
siga,18750
llevado,18750
comenzó,18749
regresa,18683
privado,18675
mirada,18665
demonio,18645
abierta,18639
kevin,18631
llámame,18616
siguen,18607
romper,18603
cambia,18593
fiscal,18580
jardín,18576
natural,18570
gratis,18558
cuesta,18552
amenaza,18551
pon,18533
marca,18531
comenzar,18527
ponte,18522
medicina,18521
podremos,18514
tomé,18506
preciosa,18505
sexual,18471
acceso,18465
necesidad,18452
dueño,18451
merece,18449
rayos,18443
mintiendo,18424
tantas,18422
imagino,18413
fantasma,18394
creerlo,18393
llamé,18365
ponga,18359
brian,18329
pollo,18307
varios,18306
efecto,18305
felicidad,18269
espada,18248
relaciones,18244
entró,18211
resultado,18197
sombrero,18197
menor,18196
recibido,18139
negra,18132
limpio,18098
china,18078
juegos,18062
correo,18059
confía,18059
video,18044
perfectamente,18042
harán,18034
teatro,18029
dormido,18025
local,18024
quedado,17999
lástima,17994
calles,17991
créeme,17988
responsabilidad,17972
búsqueda,17965
dedo,17941
tonta,17924
recuerdos,17905
razones,17901
escuchando,17897
eric,17887
elegir,17884
amas,17874
huele,17863
almuerzo,17854
cien,17845
adn,17813
tantos,17808
pago,17805
normalmente,17799
pastel,17786
bastardo,17758
cinta,17744
pasé,17724
dígame,17694
anna,17680
costa,17669
levántate,17665
llamando,17605
cerrado,17604
interés,17589
enfermera,17587
comienzo,17585
olvidé,17575
militar,17570
polvo,17564
bella,17550
quedo,17549
kate,17539
encontraste,17539
voluntad,17537
varias,17536
teoría,17535
roja,17516
cuento,17508
escenario,17495
diario,17489
propiedad,17489
agujero,17469
aspecto,17461
campamento,17455
descansar,17451
matarme,17449
metido,17436
quiso,17405
ángel,17403
enviar,17397
impresionante,17386
proceso,17346
intentado,17331
mio,17318
fuente,17300
alcalde,17299
ocurrido,17285
malos,17276
carretera,17275
desapareció,17273
desayuno,17272
débil,17270
roma,17267
sabido,17265
comienza,17253
tambien,17234
intentarlo,17231
miembro,17219
perdiendo,17215
resultados,17185
jerry,17179
mata,17178
valiente,17107
deber,17106
pecho,17075
gustó,17068
oyes,17050
thomas,17034
periódico,17023
mami,17017
piensan,17014
washington,17008
cansada,16982
limpiar,16978
crear,16958
explicar,16956
robado,16955
resolver,16944
maté,16940
guapo,16932
continuar,16918
sheriff,16917
funcionar,16915
extra,16896
primo,16896
manejar,16886
primeros,16854
acto,16848
poniendo,16844
números,16838
kilómetros,16831
andy,16826
llevará,16823
rachel,16812
niñas,16789
premio,16786
internet,16784
harías,16773
inútil,16772
domingo,16770
tomas,16764
sensación,16758
alcohol,16755
tercera,16743
agentes,16740
disculpas,16739
antiguo,16733
guapa,16700
asustado,16676
puedan,16675
sexy,16674
genio,16669
recuperar,16651
creemos,16646
lengua,16632
ladrón,16617
intenté,16617
examen,16611
deprisa,16609
montaña,16591
durmiendo,16587
disparar,16583
entrenador,16580
queso,16571
entero,16547
papeles,16546
pones,16539
modelo,16525
fútbol,16513
detener,16498
lados,16476
miembros,16465
sábado,16462
pongo,16459
mataron,16455
vuelvas,16439
talento,16438
descubrir,16425
gordo,16416
tribunal,16411
toque,16400
wow,16396
hables,16393
conocemos,16393
haberme,16380
dispuesto,16375
tamaño,16359
dejen,16358
maravillosa,16347
invitado,16345
importantes,16344
derechos,16339
scott,16331
declaración,16327
claramente,16303
pacientes,16295
pérdida,16293
iban,16271
pudiste,16265
profundo,16247
gas,16238
aeropuerto,16235
consigue,16233
olvidar,16231
gloria,16230
olvides,16229
volviendo,16220
coge,16217
fué,16211
llamaba,16189
pete,16182
instituto,16145
disparo,16133
encuentras,16132
querían,16132
hablemos,16131
dia,16129
enviado,16125
pertenece,16119
sienta,16109
pensó,16109
cadáver,16085
gracia,16082
doctora,16058
escuchen,16058
amante,16058
temporada,16055
kim,16052
cuerpos,16051
amigas,16046
larry,16045
preguntaba,16039
francés,16038
mataste,16012
techo,16010
íbamos,15997
protección,15995
médicos,15989
lisa,15984
venganza,15966
pensamos,15961
walter,15957
contó,15928
discutir,15902
comprendo,15901
idiotas,15886
enemigos,15875
camisa,15874
superior,15871
criminal,15863
preocupada,15857
bote,15845
escribió,15839
llevamos,15830
testigos,15794
recoger,15787
emily,15776
truco,15752
jason,15748
original,15725
pide,15715
jeff,15698
rosa,15694
mama,15685
negros,15682
sobrevivir,15678
rostro,15674
crédito,15668
compartir,15667
saca,15660
irás,15652
pequeñas,15646
veía,15626
empezando,15625
registro,15623
continúa,15616
grandioso,15615
viniste,15608
esquina,15602
contado,15591
cientos,15550
tormenta,15543
relájate,15540
siéntese,15537
chocolate,15529
matt,15526
pedazo,15519
tomo,15518
olor,15517
ciencia,15507
kelly,15485
conexión,15482
vieron,15470
salón,15458
sucio,15445
firma,15442
vimos,15427
pidiendo,15425
casarse,15390
bebida,15379
tercer,15377
propios,15372
fuertes,15358
lluvia,15355
recién,15340
tomaré,15333
complicado,15303
europa,15296
toques,15293
cámaras,15282
visión,15271
llego,15267
americano,15251
diversión,15249
pareció,15243
libras,15223
curso,15211
disco,15204
probable,15178
precioso,15170
tenia,15160
lago,15143
leído,15140
consiguió,15111
parecido,15111
material,15107
discurso,15097
entera,15096
corta,15077
completa,15074
decirles,15072
lunes,15063
efectivo,15046
cura,15043
antigua,15033
hablan,15023
juntas,15019
william,15011
cáncer,15005
funeral,14989
jodido,14984
dave,14983
artista,14971
favorito,14945
guste,14942
cae,14940
termine,14918
entrevista,14910
sir,14903
pintura,14903
quieto,14902
falso,14892
india,14882
corto,14875
inteligencia,14861
destruir,14858
cargos,14856
podías,14856
mentiras,14839
señoras,14832
helado,14825
felicidades,14818
camioneta,14818
mueve,14810
aparte,14807
rock,14802
tumba,14796
seguimos,14793
hablaba,14783
verle,14781
mapa,14760
tarea,14744
cambió,14741
móvil,14734
equivocada,14730
responder,14723
vacío,14710
felicitaciones,14695
computadora,14689
estudiante,14682
muriendo,14679
construir,14672
conocen,14670
clara,14668
solución,14657
mundial,14653
plato,14646
famoso,14645
des,14644
dirá,14641
ambas,14632
tecnología,14612
notas,14611
malditos,14594
cabrón,14594
condiciones,14593
dudo,14582
robó,14578
escucho,14574
laura,14574
rápidamente,14568
bordo,14566
nieve,14533
mensajes,14528
fecha,14528
violencia,14523
sujeto,14500
acciones,14496
fría,14472
droga,14471
saldrá,14470
suponía,14448
empezamos,14432
errores,14424
grace,14411
siglo,14401
molesto,14398
acabamos,14386
sabéis,14385
cortar,14379
seria,14376
muevas,14372
fortuna,14364
imaginar,14356
archivos,14355
presencia,14340
familias,14336
quedas,14328
solas,14326
oficiales,14325
aventura,14321
gira,14319
